Ticker,Appearances,Screeners,Company,Sector,Industry,Country,Market Cap,Volume,ATR%,EPS Y/Y TTM,Sales Y/Y TTM,Dist From High%,Rel Volume,Avg Volume,SMA20%,SMA50%,SMA200%,EPS Q/Q,Inst Own,Inst Trans,Perf Month,Perf Quarter,Perf Half Y,Perf Year,Stage,VCP,_10pct_excluded,_10pct_exclude_reasons,Quality Score,RS Rating
ARM,4,"Growth, IPO, 52 Week High, Week 20%+ Gain",Arm Holdings Plc ADR,Technology,Semiconductors,United Kingdom,323.94B,304.45,6.280177369026113,12.94,22.79,1.9246671420584338,1.58,8640000.0,35.59,67.28,107.03,48.63,8.09,0.17,48.8,145.96,122.25,135.5,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 35.6, 'sma50': 67.3, 'sma200': 107.0}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",False,,100.0,74
AXTI,4,"10% Change, Growth, 52 Week High, Power Move",AXT Inc,Technology,Semiconductor Equipment & Materials,USA,8.90B,"6,570,719",10.811208354784144,25.6,-0.14,1.4693920194625454,0.61,11980000.0,28.39,71.21,352.96,84.63,61.12,57.29,80.64,378.26,1244.9,8560.46,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 28.4, 'sma50': 71.2, 'sma200': 353.0}","{'vcp_possible': False, 'confidence': 45, 'signals': ['volume dry-up RVol 0.6x', 'holding above 20-day MA'], 'reason': 'volume dry-up RVol 0.6x · holding above 20-day MA'}",True,RVol 0.6x < 1.5x,84.0,99
DELL,4,"10% Change, Growth, 52 Week High, Power Move",Dell Technologies Inc,Technology,Computer Hardware,USA,193.26B,"12,930,887",5.080854798960198,39.59,19.12,12.204497725681751,1.8,8029999.999999999,26.34,47.28,97.12,56.74,39.5,4.67,39.63,148.63,148.13,164.6,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 26.3, 'sma50': 47.3, 'sma200': 97.1}","{'vcp_possible': False, 'confidence': 30, 'signals': ['moderate tightness ATR 5.1%', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 5.1% · holding above 20-day MA'}",False,,107.0,80
LPTH,4,"10% Change, 52 Week High, Week 20%+ Gain, Power Move",Lightpath Technologies Inc,Technology,Electronic Components,USA,1.07B,"6,107,900",8.984145625366999,-97.48,86.66,3.006108994132939,2.49,2740000.0,31.85,35.92,78.74,19.17,60.89,19.64,16.48,52.05,153.42,615.55,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 31.9, 'sma50': 35.9, 'sma200': 78.7}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",False,,82.0,88
NVTS,4,"10% Change, 52 Week High, Week 20%+ Gain, Power Move",Navitas Semiconductor Corp,Technology,Semiconductors,USA,6.78B,"43,050,685",9.266276265931793,-19.24,-45.38,15.191556058171152,1.65,29170000.0,49.18,104.69,188.77,-63.95,44.94,10.67,56.83,257.51,276.04,474.85,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 49.2, 'sma50': 104.7, 'sma200': 188.8}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",False,,82.0,95
ALAB,3,"Growth, IPO, 52 Week High",Astera Labs Inc,Technology,Semiconductors,USA,51.76B,301.95,6.779268090743501,533.56,104.18,1.2029052054390421,1.07,5410000.0,35.87,73.91,76.85,148.21,71.26,0.41,52.86,135.46,112.63,220.21,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 35.9, 'sma50': 73.9, 'sma200': 76.8}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",False,,104.0,81
CRDO,3,"Growth, 52 Week High, Power Move",Credo Technology Group Holding Ltd,Technology,Semiconductors,Cayman Islands,39.47B,213.97,7.659952329765855,6897.08,226.12,0.07951356407858157,0.98,7190000.0,15.67,42.89,49.5,408.64,75.24,3.6,15.32,72.49,50.81,252.04,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 15.7, 'sma50': 42.9, 'sma200': 49.5}","{'vcp_possible': False, 'confidence': 30, 'signals': ['below-avg volume RVol 1.0x', 'holding above 20-day MA'], 'reason': 'below-avg volume RVol 1.0x · holding above 20-day MA'}",False,,97.0,69
FJET,3,"10% Change, Week 20%+ Gain, Power Move",Starfighters Space Inc,Industrials,Aerospace & Defense,USA,311.87M,"10,510,811",10.056657223796034,5.1,0.0,-77.58730158730158,10.45,1120000.0,31.67,19.6,-7.81,0.0,6.6,47.45,16.69,-12.84,0.0,0.0,"{'stage': 4, 'badge': '⚫ Stage 4', 'perfect': False, 'sma20': 31.7, 'sma50': 19.6, 'sma200': -7.8}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,27.0,5
NTAP,3,"10% Change, 52 Week High, Power Move",Netapp Inc,Technology,Software - Infrastructure,USA,27.82B,"4,710,596",3.390311369600681,9.12,3.04,11.312786640886596,2.3,2290000.0,20.84,30.3,28.19,16.17,104.36,2.61,30.07,40.25,32.68,41.31,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 20.8, 'sma50': 30.3, 'sma200': 28.2}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,58.0,36
RGTI,3,"10% Change, Week 20%+ Gain, Power Move",Rigetti Computing Inc,Technology,Computer Hardware,USA,8.65B,"166,763,598",8.03228285933897,-4.39,8.75,-55.253654342218404,6.09,30560000.0,40.56,53.91,12.6,-148.42,52.84,-1.3,54.36,62.45,2.22,87.77,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 40.6, 'sma50': 53.9, 'sma200': 12.6}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,64.0,44
