Ticker,Appearances,Screeners,Company,Sector,Industry,Country,Market Cap,Volume,Price,ATR%,EPS Y/Y TTM,Sales Y/Y TTM,Dist From High%,Rel Volume,Avg Volume,SMA20%,SMA50%,SMA200%,EPS Q/Q,Inst Own,Inst Trans,Perf Month,Perf Quarter,Perf Half Y,Perf Year,Stage,VCP,_10pct_excluded,_10pct_exclude_reasons,Quality Score,RS Rating
AHR,3,"Growth, IPO, Base / Near-High",American Healthcare REIT Inc,Real Estate,REIT - Healthcare Facilities,USA,12.00B,"2,716,992",57.52,2.4339360222531288,318.17,12.24,-2.010221465076656,0.84,3230000.0,3.24,11.82,16.61,390.78,93.63,6.34,10.62,14.31,25.89,51.09,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 3.2, 'sma50': 11.8, 'sma200': 16.6}","{'vcp_possible': True, 'confidence': 60, 'signals': ['tight range ATR 2.4%', 'below-avg volume RVol 0.8x', 'holding above 20-day MA'], 'reason': 'tight range ATR 2.4% · below-avg volume RVol 0.8x · holding above 20-day MA'}",False,,112.0,53
LVWR,3,"10% Change, Week 20%+ Gain, Power Move",LiveWire Group Inc,Consumer Cyclical,Auto Manufacturers,USA,530.34M,"10,472,455",2.59,16.602316602316602,12.63,31.33,-59.78260869565217,2.77,3780000.0,139.63,118.03,-1.14,4.0,1.95,-1.46,105.56,27.59,2.37,-34.6,"{'stage': 4, 'badge': '⚫ Stage 4', 'perfect': False, 'sma20': 139.6, 'sma50': 118.0, 'sma200': -1.1}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,9.0,11
SNOW,3,"Growth, 52 Week High, Base / Near-High",Snowflake Inc,Technology,Software - Application,USA,98.05B,"8,739,303",282.90,5.0229763167196895,16.46,31.07,-0.7333590652303656,1.12,7820000.0,5.46,16.7,34.71,33.81,76.19,-1.68,12.42,98.44,32.97,29.32,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 5.5, 'sma50': 16.7, 'sma200': 34.7}","{'vcp_possible': False, 'confidence': 30, 'signals': ['moderate tightness ATR 5.0%', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 5.0% · holding above 20-day MA'}",False,,90.0,96
AAMI,2,"Growth, Base / Near-High",Acadian Asset Management Inc,Financial,Asset Management,USA,2.88B,"979,962",80.83,3.773351478411481,-2.79,20.72,-5.715618803219414,2.04,481240.0,0.65,5.51,37.35,26.39,96.89,0.87,13.57,20.8,45.46,103.35,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 0.7, 'sma50': 5.5, 'sma200': 37.4}","{'vcp_possible': True, 'confidence': 70, 'signals': ['tight range ATR 3.8%', 'tight pullback -6% from high', 'holding above 20-day MA'], 'reason': 'tight range ATR 3.8% · tight pullback -6% from high · holding above 20-day MA'}",False,,101.0,82
ADPT,2,"Growth, Base / Near-High",Adaptive Biotechnologies Corp,Healthcare,Diagnostics & Research,USA,3.61B,"3,146,646",22.56,5.49645390070922,66.29,55.87,-2.548596112311019,1.14,2760000.0,3.05,20.08,36.69,35.63,94.47,-0.22,5.42,60.68,17.32,117.13,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 3.0, 'sma50': 20.1, 'sma200': 36.7}","{'vcp_possible': False, 'confidence': 30, 'signals': ['moderate tightness ATR 5.5%', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 5.5% · holding above 20-day MA'}",False,,76.0,86
AFL,2,"Growth, Base / Near-High",Aflac Inc,Financial,Insurance - Life,USA,65.49B,"1,757,946",128.67,1.6165384316468487,37.42,7.25,-0.7329115877179548,0.72,2450000.0,4.32,7.87,13.71,3634.91,58.94,-1.67,7.15,10.65,18.72,27.62,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 4.3, 'sma50': 7.9, 'sma200': 13.7}","{'vcp_possible': True, 'confidence': 75, 'signals': ['tight range ATR 1.6%', 'volume dry-up RVol 0.7x', 'holding above 20-day MA'], 'reason': 'tight range ATR 1.6% · volume dry-up RVol 0.7x · holding above 20-day MA'}",False,,107.0,34
AMN,2,"Growth, Base / Near-High",AMN Healthcare Services Inc,Healthcare,Medical Care Facilities,USA,1.35B,"622,777",34.70,4.639769452449568,79.93,19.87,-4.328646264130132,0.58,1080000.0,3.27,10.29,56.46,5676.14,111.77,8.92,7.16,65.79,66.19,79.42,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 3.3, 'sma50': 10.3, 'sma200': 56.5}","{'vcp_possible': True, 'confidence': 85, 'signals': ['moderate tightness ATR 4.6%', 'volume dry-up RVol 0.6x', 'tight pullback -4% from high', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 4.6% · volume dry-up RVol 0.6x · tight pullback -4% from high · holding above 20-day MA'}",False,,90.0,90
AVTR,2,"Week 20%+ Gain, Power Move",Avantor Inc,Healthcare,Medical Instruments & Supplies,USA,9.82B,"42,790,064",14.38,4.3115438108484,-176.82,-1.99,-9.730069052102941,4.22,10140000.0,30.2,44.92,40.58,-32.28,100.0,-0.97,43.37,82.95,23.43,2.64,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 30.2, 'sma50': 44.9, 'sma200': 40.6}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,46.0,94
BGC,2,"Growth, Base / Near-High",BGC Group Inc,Financial,Capital Markets,USA,5.64B,"2,408,665",11.77,3.058623619371283,41.66,37.66,-8.688906128782003,0.73,3300000.0,4.57,4.79,17.93,47.89,63.06,-17.76,12.63,4.07,32.84,21.59,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 4.6, 'sma50': 4.8, 'sma200': 17.9}","{'vcp_possible': True, 'confidence': 100, 'signals': ['tight range ATR 3.1%', 'volume dry-up RVol 0.7x', 'tight pullback -9% from high', 'holding above 20-day MA'], 'reason': 'tight range ATR 3.1% · volume dry-up RVol 0.7x · tight pullback -9% from high · holding above 20-day MA'}",False,,84.0,34
BLLN,2,"Growth, Base / Near-High",Billiontoone Inc,Healthcare,Diagnostics & Research,USA,6.10B,"610,950",132.52,5.584062782976154,168.38,98.49,-4.455659697188164,0.82,745690.0,4.68,20.4,40.76,479.93,17.95,5.04,10.07,69.4,54.89,0.0,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 4.7, 'sma50': 20.4, 'sma200': 40.8}","{'vcp_possible': True, 'confidence': 70, 'signals': ['moderate tightness ATR 5.6%', 'below-avg volume RVol 0.8x', 'tight pullback -4% from high', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 5.6% · below-avg volume RVol 0.8x · tight pullback -4% from high · holding above 20-day MA'}",False,,99.0,91
