Ticker,Appearances,Screeners,Company,Sector,Industry,Country,Market Cap,Volume,Price,ATR%,EPS Y/Y TTM,Sales Y/Y TTM,Dist From High%,Rel Volume,Avg Volume,SMA20%,SMA50%,SMA200%,EPS Q/Q,Inst Own,Inst Trans,Perf Month,Perf Quarter,Perf Half Y,Perf Year,Stage,VCP,_10pct_excluded,_10pct_exclude_reasons,Quality Score,RS Rating
AHR,3,"Growth, IPO, Base / Near-High",American Healthcare REIT Inc,Real Estate,REIT - Healthcare Facilities,USA,11.91B,"1,755,218",57.08,2.522775052557814,318.17,12.24,-1.5692360751853873,0.55,3220000.0,5.31,12.38,16.69,390.78,93.61,6.63,21.03,15.27,20.42,50.65,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 5.3, 'sma50': 12.4, 'sma200': 16.7}","{'vcp_possible': True, 'confidence': 75, 'signals': ['tight range ATR 2.5%', 'volume dry-up RVol 0.6x', 'holding above 20-day MA'], 'reason': 'tight range ATR 2.5% · volume dry-up RVol 0.6x · holding above 20-day MA'}",False,,112.0,33
AAMI,2,"Growth, Base / Near-High",Acadian Asset Management Inc,Financial,Asset Management,USA,2.93B,"329,366",82.32,3.729348882410107,-2.79,20.72,-3.9776041059139233,0.69,477820.0,5.95,9.0,42.09,26.39,96.92,0.86,11.41,25.14,52.47,108.35,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 6.0, 'sma50': 9.0, 'sma200': 42.1}","{'vcp_possible': True, 'confidence': 100, 'signals': ['tight range ATR 3.7%', 'volume dry-up RVol 0.7x', 'tight pullback -4% from high', 'holding above 20-day MA'], 'reason': 'tight range ATR 3.7% · volume dry-up RVol 0.7x · tight pullback -4% from high · holding above 20-day MA'}",False,,84.0,68
ADPT,2,"Growth, Base / Near-High",Adaptive Biotechnologies Corp,Healthcare,Diagnostics & Research,USA,3.51B,"2,329,878",21.95,5.876993166287017,66.29,55.87,-5.183585313174943,0.88,2650000.0,2.32,22.84,34.53,35.63,95.06,-0.35,26.37,54.47,22.83,108.45,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 2.3, 'sma50': 22.8, 'sma200': 34.5}","{'vcp_possible': True, 'confidence': 70, 'signals': ['moderate tightness ATR 5.9%', 'below-avg volume RVol 0.9x', 'tight pullback -5% from high', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 5.9% · below-avg volume RVol 0.9x · tight pullback -5% from high · holding above 20-day MA'}",False,,88.0,71
AFL,2,"Growth, Base / Near-High",Aflac Inc,Financial,Insurance - Life,USA,62.90B,"1,567,098",123.58,1.6912121702540865,37.42,7.25,-1.8661160962439527,0.64,2460000.0,1.9,4.55,9.56,3634.91,59.92,-1.58,6.03,6.56,13.11,20.33,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 1.9, 'sma50': 4.5, 'sma200': 9.6}","{'vcp_possible': True, 'confidence': 75, 'signals': ['tight range ATR 1.7%', 'volume dry-up RVol 0.6x', 'holding above 20-day MA'], 'reason': 'tight range ATR 1.7% · volume dry-up RVol 0.6x · holding above 20-day MA'}",False,,107.0,14
AMD,2,"Growth, Base / Near-High",Advanced Micro Devices Inc,Technology,Semiconductors,USA,900.63B,"24,653,356",552.33,6.74958810855829,123.87,34.97,-5.541018931814678,0.7,35420000.0,3.71,9.29,82.76,92.25,69.48,0.31,0.13,94.15,138.16,256.99,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 3.7, 'sma50': 9.3, 'sma200': 82.8}","{'vcp_possible': True, 'confidence': 70, 'signals': ['volume dry-up RVol 0.7x', 'tight pullback -6% from high', 'holding above 20-day MA'], 'reason': 'volume dry-up RVol 0.7x · tight pullback -6% from high · holding above 20-day MA'}",False,,110.0,92
ANET,2,"Growth, Base / Near-High",Arista Networks Inc,Technology,Computer Hardware,USA,220.20B,"3,338,893",174.87,5.581288957511294,22.96,30.57,-7.8758824149193885,0.34,9810000.0,1.98,7.66,20.49,26.22,73.06,1.67,0.18,1.16,37.13,59.29,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 2.0, 'sma50': 7.7, 'sma200': 20.5}","{'vcp_possible': True, 'confidence': 85, 'signals': ['moderate tightness ATR 5.6%', 'volume dry-up RVol 0.3x', 'tight pullback -8% from high', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 5.6% · volume dry-up RVol 0.3x · tight pullback -8% from high · holding above 20-day MA'}",False,,102.0,35
ARWR,2,"52 Week High, Power Move",Arrowhead Pharmaceuticals Inc,Healthcare,Biotechnology,USA,12.49B,"6,988,810",88.70,5.862457722660654,-58.14,14.09,0.9905499259934114,3.32,2110000.0,12.1,14.45,39.79,-133.83,85.63,5.04,8.17,24.84,35.88,492.91,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 12.1, 'sma50': 14.4, 'sma200': 39.8}","{'vcp_possible': False, 'confidence': 30, 'signals': ['moderate tightness ATR 5.9%', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 5.9% · holding above 20-day MA'}",False,,92.0,93
ATEX,2,"Growth, Base / Near-High",Anterix Inc,Communication Services,Telecom Services,USA,2.03B,"358,997",103.99,7.029522069429753,886.7,7.79,-7.973451327433634,0.8,450770.0,3.76,29.9,147.39,99.47,98.57,18.3,35.02,135.59,313.48,371.82,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 3.8, 'sma50': 29.9, 'sma200': 147.4}","{'vcp_possible': True, 'confidence': 55, 'signals': ['below-avg volume RVol 0.8x', 'tight pullback -8% from high', 'holding above 20-day MA'], 'reason': 'below-avg volume RVol 0.8x · tight pullback -8% from high · holding above 20-day MA'}",False,,104.0,97
BAP,2,"Growth, Base / Near-High",Credicorp Ltd,Financial,Banks - Regional,Peru,31.31B,"704,001",393.67,3.129524728833795,34.04,22.61,-2.3878006446813815,1.56,450030.0,1.25,8.96,23.16,26.73,74.2,0.5,3.44,18.14,20.41,70.86,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 1.2, 'sma50': 9.0, 'sma200': 23.2}","{'vcp_possible': False, 'confidence': 45, 'signals': ['tight range ATR 3.1%', 'holding above 20-day MA'], 'reason': 'tight range ATR 3.1% · holding above 20-day MA'}",False,,87.0,51
BLLN,2,"Growth, Base / Near-High",Billiontoone Inc,Healthcare,Diagnostics & Research,USA,5.94B,"533,181",129.24,5.617455896007428,168.38,98.49,-6.820475847152108,0.74,723900.0,5.01,21.57,38.78,479.93,17.92,5.0,28.32,45.21,50.37,0.0,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 5.0, 'sma50': 21.6, 'sma200': 38.8}","{'vcp_possible': True, 'confidence': 85, 'signals': ['moderate tightness ATR 5.6%', 'volume dry-up RVol 0.7x', 'tight pullback -7% from high', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 5.6% · volume dry-up RVol 0.7x · tight pullback -7% from high · holding above 20-day MA'}",False,,101.0,45
