Ticker,Company,Sector,Industry,Market Cap,Days Seen,Total Days,Dates,Max ATR%,Max EPS%,Max Appearances,Screeners Hit,Base Score,Signal Score,Q Rank,Stage,Quality Mod,Watch,Last SMA50%,EP,IPO,MULTI,HIGH,CHAR,CC_DEEP,CC_WATCH
AHR,American Healthcare REIT Inc,Real Estate,REIT - Healthcare Facilities,11.99B,5,5,"2026-07-20, 2026-07-21, 2026-07-22, 2026-07-23, 2026-07-24",2.6,318.2,3,"Base / Near-High, Growth, IPO",150.0,215.0,112,Uptrend,30,False,12.2,False,True,True,False,False,False,False
NUAI,New Era Energy & Digital Inc,Technology,Software - Infrastructure,538.36M,4,5,"2026-07-20, 2026-07-21, 2026-07-22, 2026-07-23",12.6,31.6,3,"10% Change, Power Move, Week 20%+ Gain",130.0,215.0,61,Uptrend,30,False,2.5,False,False,True,False,True,True,False
DAVE,Dave Inc,Technology,Software - Application,5.12B,5,5,"2026-07-20, 2026-07-21, 2026-07-22, 2026-07-23, 2026-07-24",6.2,311.6,3,"52 Week High, Base / Near-High, Growth",150.0,210.0,94,Uptrend,30,False,41.1,False,False,True,True,False,False,False
PTGX,Protagonist Therapeutics Inc,Healthcare,Biotechnology,8.75B,5,5,"2026-07-20, 2026-07-21, 2026-07-22, 2026-07-23, 2026-07-24",4.7,-302.1,3,"52 Week High, Base / Near-High, Growth",150.0,210.0,100,Uptrend,30,False,18.5,False,False,True,True,False,False,False
BTSG,BrightSpring Health Services Inc,Healthcare,Health Information Services,14.31B,3,5,"2026-07-20, 2026-07-21, 2026-07-24",3.6,290.9,4,"52 Week High, Base / Near-High, Growth, IPO",120.0,195.0,107,Uptrend,30,False,11.1,False,True,True,True,False,False,False
URGN,UroGen Pharma Ltd,Healthcare,Biotechnology,2.07B,4,5,"2026-07-20, 2026-07-21, 2026-07-22, 2026-07-23",4.8,13.3,3,"52 Week High, Base / Near-High, Growth",130.0,190.0,84,Uptrend,30,False,26.2,False,False,True,True,False,False,False
SNOW,Snowflake Inc,Technology,Software - Application,92.91B,5,5,"2026-07-20, 2026-07-21, 2026-07-22, 2026-07-23, 2026-07-24",5.0,16.5,2,"Base / Near-High, Growth",140.0,170.0,97,Uptrend,30,False,21.5,False,False,False,False,False,False,False
SU,Suncor Energy Inc,Energy,Oil & Gas Integrated,77.71B,5,5,"2026-07-20, 2026-07-21, 2026-07-22, 2026-07-23, 2026-07-24",2.5,9.6,2,"Base / Near-High, Growth",140.0,170.0,99,Uptrend,30,False,1.4,False,False,False,False,False,False,False
INSW,International Seaways Inc,Energy,Oil & Gas Midstream,4.57B,5,5,"2026-07-20, 2026-07-21, 2026-07-22, 2026-07-23, 2026-07-24",4.6,69.6,2,"Base / Near-High, Growth",140.0,170.0,89,Uptrend,30,False,8.4,False,False,False,False,False,False,False
SUN,Sunoco LP,Energy,Oil & Gas Refining & Marketing,15.40B,5,5,"2026-07-20, 2026-07-21, 2026-07-22, 2026-07-23, 2026-07-24",2.6,-29.1,2,"Base / Near-High, Growth",140.0,170.0,100,Uptrend,30,False,10.5,False,False,False,False,False,False,False
VCTR,Victory Capital Holdings Inc,Financial,Asset Management,6.08B,5,5,"2026-07-20, 2026-07-21, 2026-07-22, 2026-07-23, 2026-07-24",3.1,-2.0,2,"Base / Near-High, Growth",140.0,170.0,82,Uptrend,30,False,12.0,False,False,False,False,False,False,False
NBIX,Neurocrine Biosciences Inc,Healthcare,Drug Manufacturers - Specialty & Generic,17.67B,5,5,"2026-07-20, 2026-07-21, 2026-07-22, 2026-07-23, 2026-07-24",2.9,120.5,2,"Base / Near-High, Growth",140.0,170.0,104,Uptrend,30,False,5.8,False,False,False,False,False,False,False
RNST,Renasant Corp,Financial,Banks - Regional,4.01B,5,5,"2026-07-20, 2026-07-21, 2026-07-22, 2026-07-23, 2026-07-24",2.6,-25.1,2,"Base / Near-High, Growth",140.0,170.0,82,Uptrend,30,False,4.0,False,False,False,False,False,False,False
