Ticker,Appearances,Screeners,Company,Sector,Industry,Country,Market Cap,Volume,ATR%,EPS Y/Y TTM,Sales Y/Y TTM,Dist From High%,Rel Volume,Avg Volume,SMA20%,SMA50%,SMA200%,EPS Q/Q,Inst Own,Inst Trans,Perf Month,Perf Quarter,Stage,VCP,_10pct_excluded,_10pct_exclude_reasons,Quality Score
ALAB,2,"Growth, IPO",Astera Labs Inc,Technology,Semiconductors,USA,31.20B,183.31,6.966341170694451,342.36,115.13,-30.273868391023196,0.91,5430000.0,15.27,34.25,13.69,62.82,68.49,2.44,62.99,7.24,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 15.3, 'sma50': 34.2, 'sma200': 13.7}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,62.0
CECO,2,"10% Change, Power Move",Ceco Environmental Corp,Industrials,Pollution & Treatment Controls,USA,2.67B,"2,691,828",4.792031228967559,284.3,38.79,-9.092021536955453,4.53,593720.0,16.03,19.37,34.61,-37.63,89.7,0.36,21.89,4.6,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 16.0, 'sma50': 19.4, 'sma200': 34.6}","{'vcp_possible': True, 'confidence': 55, 'signals': ['moderate tightness ATR 4.8%', 'tight pullback -9% from high', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 4.8% · tight pullback -9% from high · holding above 20-day MA'}",False,,118.0
CNC,2,"10% Change, Power Move",Centene Corp,Healthcare,Healthcare Plans,USA,24.38B,"17,187,011",3.772443009885011,-317.13,19.44,-22.727981293842557,2.71,6350000.0,29.17,28.32,36.21,-497.29,97.68,-1.71,54.91,19.36,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 29.2, 'sma50': 28.3, 'sma200': 36.2}","{'vcp_possible': True, 'confidence': 55, 'signals': ['tight range ATR 3.8%', 'moderate pullback -23% from high', 'holding above 20-day MA'], 'reason': 'tight range ATR 3.8% · moderate pullback -23% from high · holding above 20-day MA'}",False,,102.0
COUR,2,"10% Change, Power Move",Coursera Inc,Consumer Defensive,Education & Training Services,USA,1.10B,"11,171,542",6.3174114021571635,8.61,9.79,-52.138643067846616,2.03,5490000.0,8.73,7.54,-22.68,-150.52,81.69,12.71,17.79,5.02,"{'stage': 4, 'badge': '⚫ Stage 4', 'perfect': False, 'sma20': 8.7, 'sma50': 7.5, 'sma200': -22.7}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",True,"-52% from 52w high, Stage 4 (Downtrend)",12.0
KNSA,2,"10% Change, Power Move",Kiniksa Pharmaceuticals International Plc,Healthcare,Drug Manufacturers - Specialty & Generic,United Kingdom,4.14B,"3,028,843",4.475394614670381,231.11,60.09,7.620360932909653,4.66,650260.0,16.23,16.96,34.56,241.66,60.7,6.35,17.7,20.63,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 16.2, 'sma50': 17.0, 'sma200': 34.6}","{'vcp_possible': False, 'confidence': 30, 'signals': ['moderate tightness ATR 4.5%', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 4.5% · holding above 20-day MA'}",False,,104.0
OGN,2,"52 Week High, Week 20%+ Gain",Organon & Co,Healthcare,Drug Manufacturers - General,USA,3.47B,13.32,5.9309309309309315,-78.5,-2.92,0.6042296072507503,4.65,7900000.0,55.44,78.41,58.72,-287.86,76.28,-0.77,128.08,48.0,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 55.4, 'sma50': 78.4, 'sma200': 58.7}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,44.0
SEI,2,"Growth, 52 Week High",Solaris Energy Infrastructure Inc,Energy,Oil & Gas Equipment & Services,USA,5.33B,74.44,6.461579795808705,44.48,86.29,0.5266711681296332,1.7,2780000.0,17.01,27.63,59.01,128.57,117.56,23.5,28.72,38.11,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 17.0, 'sma50': 27.6, 'sma200': 59.0}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",False,,93.0
SNDK,2,"Growth, IPO",Sandisk Corp,Technology,Computer Hardware,USA,147.95B,1002.35,6.343093729735122,-327.99,23.6,-6.380176713429108,0.71,19400000.0,15.42,36.9,197.53,617.71,77.17,-9.08,62.76,108.2,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 15.4, 'sma50': 36.9, 'sma200': 197.5}","{'vcp_possible': True, 'confidence': 70, 'signals': ['volume dry-up RVol 0.7x', 'tight pullback -6% from high', 'holding above 20-day MA'], 'reason': 'volume dry-up RVol 0.7x · tight pullback -6% from high · holding above 20-day MA'}",False,,112.0
THR,2,"10% Change, Power Move",Thermon Group Holdings Inc,Industrials,Specialty Industrial Machinery,USA,1.99B,"1,970,447",3.9491077329808326,28.45,6.15,3.3417003910318765,3.54,557220.0,13.11,19.06,62.35,1.36,102.94,-0.3,18.3,37.64,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 13.1, 'sma50': 19.1, 'sma200': 62.4}","{'vcp_possible': False, 'confidence': 45, 'signals': ['tight range ATR 3.9%', 'holding above 20-day MA'], 'reason': 'tight range ATR 3.9% · holding above 20-day MA'}",False,,78.0
UDMY,2,"10% Change, Power Move",Udemy Inc,Consumer Defensive,Education & Training Services,USA,754.48M,"2,107,113",6.189555125725339,104.45,0.42,-36.09394313967862,1.08,1940000.0,8.61,8.06,-10.74,76.19,60.31,0.45,18.58,5.94,"{'stage': 4, 'badge': '⚫ Stage 4', 'perfect': False, 'sma20': 8.6, 'sma50': 8.1, 'sma200': -10.7}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",True,"RVol 1.1x < 1.5x, -36% from 52w high, Stage 4 (Downtrend)",6.0
