ticker,date,pattern,pa,pb,close,rvol,chg_pct,range_contract,dist_hi5,sma50_pct,perf60,fwd1_max,fwd3_max,fwd5_max,fwd10_max,hit_5d_15,hit_5d_10,hit_3d_10
ADI,2026-02-09,A,True,False,322.97,0.7810775516051807,0.7863941332501234,0.6005084283421636,-1.4569253535522964,11.228472450143157,38.37024977507393,1.0558256184784787,6.499055639842699,6.499055639842699,12.23643062823172,False,False,False
ADI,2026-02-10,A,True,False,325.16,0.6578041478484292,0.6780815555624375,0.6400651897724823,-0.7887229400906137,11.466447454347817,34.67528164347251,3.8996186492803453,5.781768975273693,9.287735268790742,11.698855947841057,False,False,False
ADI,2026-02-13,A,True,False,337.1,0.842703525958326,1.7322549492998496,0.8654339087301757,-1.994417955576222,13.991462982870173,46.603461772636344,0.9967368733313497,5.416790269949567,6.199940670424198,7.74250964105605,False,False,False
ADI,2026-02-23,A,True,False,355.15,0.9057578831890721,0.03379996056671608,0.746362843365101,-0.0844000562667091,17.33983022315877,48.35004177109439,2.0667323666056614,2.2666478952555247,2.2666478952555247,2.2666478952555247,False,False,False
ADI,2026-02-24,A,True,False,356.09,0.9761770867753463,0.26467689708573605,0.6313579408583625,-0.5335195530726367,17.07390526577772,41.29434171891118,1.996686231009015,1.996686231009015,1.996686231009015,1.996686231009015,False,False,False
ADI,2026-02-25,A,True,False,360.8,0.7372447840759383,1.3226993175882606,0.41756722650962985,-0.46621975778642355,18.021697281542927,39.88833746898261,0.24390243902439046,0.24390243902439046,0.24390243902439046,0.24390243902439046,False,False,False
ADI,2026-03-02,A,True,False,352.41,0.6959370667189877,-0.9499985946766376,0.8046965313795994,-2.970814977973557,13.609437697597926,29.10209913177273,-2.7879174824777975,-1.7082375642007985,-1.7082375642007985,-1.7082375642007985,False,False,False
ADI,2026-04-22,A,True,False,381.42,0.8048975959363192,1.6388200495643268,0.5689939734153424,-1.0480983759663665,13.865825683965172,25.46297819150687,7.0657018509779235,7.0657018509779235,7.0657018509779235,9.066121336059974,False,False,False
ADI,2026-04-29,A,True,False,389.31,0.9776757551945798,1.5785628555027964,0.7654400268058987,-4.6673359943188775,14.172914293624196,22.864987691725048,3.4317125170172824,3.4317125170172824,6.8557190927538425,11.921091161285347,False,False,False
ADI,2026-05-01,A,True,False,397.69,0.6253315015826527,-1.136081141550238,0.4995030755493777,-2.119123800147682,15.894464319227474,24.107477218824116,1.1491362619125534,4.6040886117327595,5.295581985968978,9.562724735346627,False,False,False
ADI,2026-05-13,A,True,False,432.39,0.9871566791742491,3.035863219349455,0.9283393576641074,2.2488649262202065,22.517573347901276,28.11175965156587,0.3512800943592742,0.3512800943592742,0.3512800943592742,,False,False,False
ADI,2026-05-14,A,True,False,426.79,0.7892174233258904,-1.295127084345149,0.9486884544219357,-2.0494813182777905,20.349190020821915,23.217946126974056,-1.0801565172567362,0.4424658497153233,0.4424658497153233,,False,False,False
AEM,2026-02-10,A,True,False,211.89,0.636118351149178,0.9769348074723627,0.31267521360530487,0.7416916274425756,13.728828478742061,22.409012131715777,3.0015574118646526,3.1903346075794037,5.351833498513381,16.008306196611464,False,False,False
AEM,2026-02-11,A,True,False,217.19,0.563659222881713,2.5012978432205513,0.8167660156463347,2.0270111567821436,16.040879044787857,28.6137265352046,0.6722224780146391,0.6722224780146391,3.485427505870442,13.624015838666615,False,False,False
