Ticker,Appearances,Screeners,Company,Sector,Industry,Country,Market Cap,Volume,Price,ATR%,EPS Y/Y TTM,Sales Y/Y TTM,Dist From High%,Rel Volume,Avg Volume,SMA20%,SMA50%,SMA200%,EPS Q/Q,Inst Own,Inst Trans,Perf Month,Perf Quarter,Perf Half Y,Perf Year,Stage,VCP,_10pct_excluded,_10pct_exclude_reasons,Quality Score,RS Rating
AMLX,3,"10% Change, Week 20%+ Gain, Power Move",Amylyx Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,3.91B,"23,838,527",35.11,6.3229849045855895,42.67,-100.0,42.69921395534095,14.33,1660000.0,61.53,87.46,128.61,16.0,97.18,4.33,101.2,173.02,148.48,339.42,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 61.5, 'sma50': 87.5, 'sma200': 128.6}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",False,,102.0,99
DBRG,3,"Growth, 52 Week High, Base / Near-High",DigitalBridge Group Inc,Financial,Asset Management,USA,3.03B,"3,364,866",15.91,0.3142677561282213,6043.85,99.25,-0.25078369905955356,1.15,2920000.0,0.14,0.66,7.56,1100.21,97.46,4.89,0.63,1.53,3.24,42.95,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 0.1, 'sma50': 0.7, 'sma200': 7.6}","{'vcp_possible': False, 'confidence': 45, 'signals': ['tight range ATR 0.3%', 'holding above 20-day MA'], 'reason': 'tight range ATR 0.3% · holding above 20-day MA'}",False,,94.0,19
HNGE,3,"Growth, IPO, Base / Near-High",Hinge Health Inc,Healthcare,Health Information Services,USA,7.12B,"1,123,731",88.24,4.92973708068903,124.68,49.76,-5.250724793299688,0.59,1920000.0,8.24,11.03,63.74,107.01,67.27,4.21,0.62,61.29,125.16,49.48,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 8.2, 'sma50': 11.0, 'sma200': 63.7}","{'vcp_possible': True, 'confidence': 85, 'signals': ['moderate tightness ATR 4.9%', 'volume dry-up RVol 0.6x', 'tight pullback -5% from high', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 4.9% · volume dry-up RVol 0.6x · tight pullback -5% from high · holding above 20-day MA'}",False,,102.0,88
HTFL,3,"IPO, 52 Week High, Week 20%+ Gain",Heartflow Inc,Healthcare,Health Information Services,USA,3.93B,"4,166,846",45.23,5.59363254477117,0.0,0.0,4.495887625912576,2.54,1640000.0,54.31,52.85,56.45,-65.19,81.78,26.28,84.16,76.37,103.1,50.92,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 54.3, 'sma50': 52.9, 'sma200': 56.5}","{'vcp_possible': False, 'confidence': 30, 'signals': ['moderate tightness ATR 5.6%', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 5.6% · holding above 20-day MA'}",False,,91.0,92
NMAX,3,"10% Change, Week 20%+ Gain, Power Move",Newsmax Inc,Communication Services,Broadcasting,USA,1.48B,"2,362,201",11.43,6.036745406824147,0.0,0.0,-28.293601003764113,1.88,1260000.0,32.38,36.51,50.17,103.81,46.42,3.5,39.56,58.31,108.96,-17.95,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 32.4, 'sma50': 36.5, 'sma200': 50.2}","{'vcp_possible': False, 'confidence': 25, 'signals': ['moderate pullback -28% from high', 'holding above 20-day MA'], 'reason': 'moderate pullback -28% from high · holding above 20-day MA'}",False,,91.0,85
P,3,"Growth, 52 Week High, Base / Near-High",Everpure Inc,Technology,Computer Hardware,USA,38.91B,"2,999,711",117.06,4.536135315222962,75.68,21.03,-1.4729399882164818,0.9,3320000.0,29.6,45.71,56.56,263.4,83.59,-0.43,67.4,51.89,61.04,100.17,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 29.6, 'sma50': 45.7, 'sma200': 56.6}","{'vcp_possible': False, 'confidence': 45, 'signals': ['moderate tightness ATR 4.5%', 'below-avg volume RVol 0.9x', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 4.5% · below-avg volume RVol 0.9x · holding above 20-day MA'}",False,,92.0,75
PTGX,3,"Growth, 52 Week High, Base / Near-High",Protagonist Therapeutics Inc,Healthcare,Biotechnology,USA,10.18B,"471,646",157.34,3.451124952332528,44.59,34.81,-1.0128971374645968,0.7,678150.0,10.11,19.93,54.87,518.89,115.49,11.72,17.18,56.18,90.81,179.91,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 10.1, 'sma50': 19.9, 'sma200': 54.9}","{'vcp_possible': True, 'confidence': 75, 'signals': ['tight range ATR 3.5%', 'volume dry-up RVol 0.7x', 'holding above 20-day MA'], 'reason': 'tight range ATR 3.5% · volume dry-up RVol 0.7x · holding above 20-day MA'}",False,,115.0,89
RBRK,3,"Growth, IPO, Base / Near-High",Rubrik Inc,Technology,Software - Infrastructure,USA,20.70B,"3,320,701",100.55,4.883142715067131,48.87,45.73,-5.586854460093904,0.91,3650000.0,18.48,25.3,49.03,61.43,62.85,2.77,28.61,54.74,87.94,17.3,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 18.5, 'sma50': 25.3, 'sma200': 49.0}","{'vcp_possible': True, 'confidence': 70, 'signals': ['moderate tightness ATR 4.9%', 'below-avg volume RVol 0.9x', 'tight pullback -6% from high', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 4.9% · below-avg volume RVol 0.9x · tight pullback -6% from high · holding above 20-day MA'}",False,,103.0,81
ROKU,3,"Growth, 52 Week High, Base / Near-High",Roku Inc,Communication Services,Entertainment,USA,23.42B,"2,267,798",157.78,1.4640638864241349,668.39,18.52,-0.46053876727020215,0.53,4300000.0,6.08,11.19,37.79,1440.03,78.96,-5.02,9.47,27.09,78.12,70.89,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 6.1, 'sma50': 11.2, 'sma200': 37.8}","{'vcp_possible': True, 'confidence': 75, 'signals': ['tight range ATR 1.5%', 'volume dry-up RVol 0.5x', 'holding above 20-day MA'], 'reason': 'tight range ATR 1.5% · volume dry-up RVol 0.5x · holding above 20-day MA'}",False,,107.0,69
AAMI,2,"Growth, Base / Near-High",Acadian Asset Management Inc,Financial,Asset Management,USA,3.26B,"269,561",91.83,3.299575302188827,17.81,24.02,-2.1210829247495178,0.55,490180.0,4.38,12.38,48.4,171.86,102.9,-4.15,11.78,32.43,76.8,92.07,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 4.4, 'sma50': 12.4, 'sma200': 48.4}","{'vcp_possible': True, 'confidence': 75, 'signals': ['tight range ATR 3.3%', 'volume dry-up RVol 0.6x', 'holding above 20-day MA'], 'reason': 'tight range ATR 3.3% · volume dry-up RVol 0.6x · holding above 20-day MA'}",False,,90.0,72
AIR,2,"Growth, Base / Near-High",AAR Corp,Industrials,Aerospace & Defense,USA,6.00B,"468,817",149.02,4.28801503153939,1317.49,18.97,-3.233766233766222,1.03,453400.0,5.12,8.72,34.38,34.05,101.19,2.54,9.82,43.58,31.25,96.73,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 5.1, 'sma50': 8.7, 'sma200': 34.4}","{'vcp_possible': True, 'confidence': 55, 'signals': ['moderate tightness ATR 4.3%', 'tight pullback -3% from high', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 4.3% · tight pullback -3% from high · holding above 20-day MA'}",False,,101.0,69
ARGX,2,"Growth, Base / Near-High",Argen X SE ADR,Healthcare,Biotechnology,Netherlands,62.12B,"333,895",992.99,3.5005387768255467,30.28,70.57,-0.9150235491338643,1.0,332660.0,12.56,12.2,19.16,104.48,45.66,-9.01,17.35,27.92,17.72,50.15,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 12.6, 'sma50': 12.2, 'sma200': 19.2}","{'vcp_possible': False, 'confidence': 45, 'signals': ['tight range ATR 3.5%', 'holding above 20-day MA'], 'reason': 'tight range ATR 3.5% · holding above 20-day MA'}",False,,93.0,44
