Ticker,Appearances,Screeners,Company,Sector,Industry,Country,Market Cap,Volume,ATR%,EPS Y/Y TTM,Sales Y/Y TTM,Dist From High%,Rel Volume,Avg Volume,SMA20%,SMA50%,SMA200%,EPS Q/Q,Inst Own,Inst Trans,Perf Month,Perf Quarter,Perf Half Y,Perf Year,Stage,VCP,_10pct_excluded,_10pct_exclude_reasons,Quality Score,RS Rating
ENPH,4,"10% Change, 52 Week High, Week 20%+ Gain, Power Move",Enphase Energy Inc,Technology,Solar,USA,6.97B,"20,273,439",6.466250709018719,-6.91,-1.64,-0.07557150954090597,3.28,6180000.0,43.6,40.4,45.16,-125.84,98.63,5.19,65.49,21.61,72.22,6.37,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 43.6, 'sma50': 40.4, 'sma200': 45.2}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",False,,89.0,25
SEDG,4,"10% Change, 52 Week High, Week 20%+ Gain, Power Move",Solaredge Technologies Inc,Technology,Solar,Israel,3.76B,"14,440,014",7.9177461139896375,79.65,35.4,14.899332854586111,3.72,3890000.0,40.55,41.42,69.82,44.08,106.67,4.78,58.73,73.82,45.28,196.35,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 40.5, 'sma50': 41.4, 'sma200': 69.8}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",False,,101.0,67
BW,3,"10% Change, 52 Week High, Week 20%+ Gain",Babcock & Wilcox Enterprises Inc,Industrials,Specialty Industrial Machinery,USA,2.98B,"12,597,384",8.329519450800916,18.16,-3.26,2.2844302967887087,3.03,4160000.0,32.51,38.28,175.39,-120.88,70.13,19.35,18.56,124.1,212.14,2507.09,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 32.5, 'sma50': 38.3, 'sma200': 175.4}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",False,,96.0,97
ALAB,2,"Growth, IPO",Astera Labs Inc,Technology,Semiconductors,USA,39.88B,232.68,7.099879663056558,533.56,104.18,-11.494864967668306,1.15,5160000.0,14.34,46.58,38.84,148.21,68.18,0.73,36.22,79.93,47.46,152.39,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 14.3, 'sma50': 46.6, 'sma200': 38.8}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,61.0,64
ARM,2,"Growth, IPO",Arm Holdings Plc ADR,Technology,Semiconductors,United Kingdom,222.55B,209.16,7.1667622872442145,12.94,22.79,-12.668058455114828,1.28,7900000.0,0.08,24.64,45.22,48.63,7.21,0.5,28.85,66.95,40.61,57.18,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 0.1, 'sma50': 24.6, 'sma200': 45.2}","{'vcp_possible': False, 'confidence': 40, 'signals': ['tight pullback -13% from high', 'holding above 20-day MA'], 'reason': 'tight pullback -13% from high · holding above 20-day MA'}",False,,92.0,50
AXTI,2,"10% Change, Growth",AXT Inc,Technology,Semiconductor Equipment & Materials,USA,6.88B,"9,737,920",10.87413152367103,25.79,-0.14,-7.6268656716417915,0.82,11810000.0,28.28,71.92,355.63,84.63,74.21,57.79,51.36,410.64,1027.32,8436.55,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 28.3, 'sma50': 71.9, 'sma200': 355.6}","{'vcp_possible': True, 'confidence': 55, 'signals': ['below-avg volume RVol 0.8x', 'tight pullback -8% from high', 'holding above 20-day MA'], 'reason': 'below-avg volume RVol 0.8x · tight pullback -8% from high · holding above 20-day MA'}",True,RVol 0.8x < 1.5x,96.0,99
BTSG,2,"Growth, IPO",BrightSpring Health Services Inc,Healthcare,Health Information Services,USA,11.23B,57.90,3.454231433506045,290.87,17.97,-1.3124254303732763,0.97,2920000.0,12.42,24.59,60.26,144.76,82.86,1.57,26.42,49.0,72.12,141.05,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 12.4, 'sma50': 24.6, 'sma200': 60.3}","{'vcp_possible': True, 'confidence': 60, 'signals': ['tight range ATR 3.5%', 'below-avg volume RVol 1.0x', 'holding above 20-day MA'], 'reason': 'tight range ATR 3.5% · below-avg volume RVol 1.0x · holding above 20-day MA'}",False,,104.0,61
CRWD,2,"Growth, 52 Week High",Crowdstrike Holdings Inc,Technology,Software - Infrastructure,USA,151.24B,594.08,3.8799488284406136,-908.9,21.71,1.764188968123337,0.97,3990000.0,21.5,34.24,29.02,140.11,69.82,-0.1,42.06,38.27,8.83,37.57,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 21.5, 'sma50': 34.2, 'sma200': 29.0}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,56.0,23
DDOG,2,"Growth, 52 Week High",Datadog Inc,Technology,Software - Application,USA,73.57B,207.98,4.942782959899991,-21.11,29.54,1.235877940625274,1.0,5520000.0,31.52,52.85,48.61,115.46,82.69,-3.71,68.45,66.12,8.95,77.55,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 31.5, 'sma50': 52.9, 'sma200': 48.6}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,58.0,45
FCEL,2,"52 Week High, Week 20%+ Gain",Fuelcell Energy Inc,Industrials,Electrical Equipment & Parts,USA,1.13B,21.36,9.410112359550562,11.56,48.29,-4.2581801882563886,3.38,4420000.0,55.27,122.15,169.25,65.45,43.12,18.58,190.61,195.84,177.04,427.41,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 55.3, 'sma50': 122.2, 'sma200': 169.2}","{'vcp_possible': False, 'confidence': 40, 'signals': ['tight pullback -4% from high', 'holding above 20-day MA'], 'reason': 'tight pullback -4% from high · holding above 20-day MA'}",False,,90.0,88
