Ticker,Appearances,Screeners,Company,Sector,Industry,Country,Market Cap
BW,3,"10% Change, Growth, 52 Week High",Babcock & Wilcox Enterprises Inc,Industrials,Specialty Industrial Machinery,USA,1.66B
CIEN,2,"Growth, 52 Week High",CIENA Corp,Technology,Communication Equipment,USA,52.32B
KRMN,2,"Growth, IPO",Karman Holdings Inc,Industrials,Aerospace & Defense,USA,13.77B
LASR,2,"Growth, 52 Week High",nLIGHT Inc,Technology,Semiconductors,USA,3.97B
LONA,2,"10% Change, 52 Week High",LeonaBio Inc,Healthcare,Biotechnology,USA,105.50M
MU,2,"Growth, 52 Week High",Micron Technology Inc,Technology,Semiconductors,USA,519.64B
SNDK,2,"Growth, IPO",Sandisk Corp,Technology,Computer Hardware,USA,106.30B
UMAC,2,"10% Change, Growth",Unusual Machines Inc,Technology,Computer Hardware,USA,813.19M
VG,2,"Growth, IPO",Venture Global Inc,Energy,Oil & Gas Midstream,USA,31.87B
AAOI,1,Growth,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,6.49B
ABVX,1,IPO,Abivax ADR,Healthcare,Biotechnology,France,10.02B
ADEA,1,Growth,Adeia Inc,Technology,Software - Application,USA,2.56B
ADTN,1,Growth,ADTRAN Holdings Inc,Technology,Communication Equipment,USA,870.31M
AHR,1,IPO,American Healthcare REIT Inc,Real Estate,REIT - Healthcare Facilities,USA,10.08B
ALAB,1,IPO,Astera Labs Inc,Technology,Semiconductors,USA,21.71B
ALOY,1,10% Change,REalloys Inc,Basic Materials,Other Industrial Metals & Mining,USA,785.51M
AMPX,1,52 Week High,Amprius Technologies Inc,Industrials,Electrical Equipment & Parts,USA,2.66B
AR,1,Growth,Antero Resources Corp,Energy,Oil & Gas E&P,USA,12.69B
ARM,1,IPO,Arm Holdings plc. ADR,Technology,Semiconductors,United Kingdom,135.20B
BDSX,1,Growth,Biodesix Inc,Healthcare,Diagnostics & Research,USA,163.55M
BLDP,1,Week 20%+ Gain,Ballard Power Systems Inc,Industrials,Electrical Equipment & Parts,Canada,805.98M
BMBL,1,Week 20%+ Gain,Bumble Inc,Communication Services,Internet Content & Information,USA,466.74M
BNAI,1,Growth,Brand Engagement Network Inc,Technology,Software - Infrastructure,USA,236.45M
BTSG,1,IPO,BrightSpring Health Services Inc,Healthcare,Health Information Services,USA,8.15B
CART,1,IPO,Maplebear Inc,Consumer Cyclical,Internet Retail,USA,9.18B
CAVA,1,IPO,Cava Group Inc,Consumer Cyclical,Restaurants,USA,10.53B
CGON,1,IPO,Cg Oncology Inc,Healthcare,Biotechnology,USA,5.80B
CRCL,1,Growth,Circle Internet Group Inc,Financial,Capital Markets,USA,32.66B
CXW,1,Growth,CoreCivic Inc,Industrials,Security & Protection Services,USA,1.98B
DAR,1,52 Week High,Darling Ingredients Inc,Consumer Defensive,Packaged Foods,USA,9.03B
DELL,1,Growth,Dell Technologies Inc,Technology,Computer Hardware,USA,101.40B
DOCN,1,52 Week High,DigitalOcean Holdings Inc,Technology,Software - Infrastructure,USA,7.14B
DTE,1,Growth,DTE Energy Co,Utilities,Utilities - Regulated Electric,USA,31.03B
ECVT,1,52 Week High,Ecovyst Inc,Basic Materials,Specialty Chemicals,USA,1.35B
EDSA,1,10% Change,Edesa Biotech Inc,Healthcare,Biotechnology,Canada,58.43M
EQT,1,Growth,EQT Corp,Energy,Oil & Gas E&P,USA,40.22B
EXAS,1,52 Week High,Exact Sciences Corp,Healthcare,Diagnostics & Research,USA,19.84B
FIGS,1,Growth,Figs Inc,Consumer Cyclical,Apparel Manufacturing,USA,2.40B
FINV,1,10% Change,FinVolution Group ADR,Financial,Credit Services,China,865.63M
GEV,1,IPO,GE Vernova Inc,Industrials,Specialty Industrial Machinery,USA,227.50B
GLNG,1,Growth,Golar Lng,Energy,Oil & Gas Midstream,Bermuda,4.85B
GPRE,1,52 Week High,Green Plains Inc,Basic Materials,Chemicals,USA,1.17B
KEYS,1,Growth,Keysight Technologies Inc,Technology,Scientific & Technical Instruments,USA,49.29B
KGS,1,IPO,Kodiak Gas Services Inc,Energy,Oil & Gas Equipment & Services,USA,4.81B
KVYO,1,IPO,Klaviyo Inc,Technology,Software - Application,USA,5.83B
