Ticker,Appearances,Screeners,Company,Sector,Industry,Country,Market Cap,ATR%,EPS Y/Y TTM,Sales Y/Y TTM,Dist From High%,Rel Volume,Avg Volume,SMA20%,SMA50%,SMA200%,Stage,VCP,_10pct_excluded,_10pct_exclude_reasons,Quality Score
AAOI,3,"10% Change, Growth, Week 20%+ Gain",Applied Optoelectronics Inc,Technology,Communication Equipment,USA,8.57B,11.06233538191396,84.71,82.75,-11.678039702233256,2.18,7660000.0,18.42,78.29,212.6,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 18.4, 'sma50': 78.3, 'sma200': 212.6}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,58.0
ADEA,2,"Growth, 52 Week High",Adeia Inc,Technology,Software - Application,USA,2.75B,4.0412044374009515,71.9,17.91,2.1366137908708227,1.17,1010000.0,13.6,25.36,56.19,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 13.6, 'sma50': 25.4, 'sma200': 56.2}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,41.0
ADTN,2,"Growth, 52 Week High",ADTRAN Holdings Inc,Technology,Communication Equipment,USA,1.01B,4.788507581803671,90.84,17.46,1.9445122447319108,1.83,1300000.0,18.6,24.83,36.33,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 18.6, 'sma50': 24.8, 'sma200': 36.3}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,37.0
ANNA,2,"10% Change, Week 20%+ Gain",AleAnna Inc,Energy,Oil & Gas E&P,USA,511.91M,14.583333333333334,-985.28,0.0,-58.03278688524591,26.51,2290000.0,94.1,143.03,84.89,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 94.1, 'sma50': 143.0, 'sma200': 84.9}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",True,-58% from 52w high,50.0
AXTI,2,"52 Week High, Week 20%+ Gain",AXT Inc,Technology,Semiconductor Equipment & Materials,USA,3.80B,9.89187609585038,-79.13,-11.11,4.898534731163018,1.58,8500000.0,47.68,113.95,434.85,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 47.7, 'sma50': 114.0, 'sma200': 434.9}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,34.0
CIEN,2,"Growth, 52 Week High",CIENA Corp,Technology,Communication Equipment,USA,60.71B,6.535003959196982,193.36,26.54,2.2815517791720863,1.01,3310000.0,21.12,40.96,133.22,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 21.1, 'sma50': 41.0, 'sma200': 133.2}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,58.0
KRMN,2,"Growth, IPO",Karman Holdings Inc,Industrials,Aerospace & Defense,USA,13.48B,6.745875883739198,-28.01,29.38,-13.971954722081426,0.86,2069999.9999999998,3.27,3.75,41.8,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 3.3, 'sma50': 3.8, 'sma200': 41.8}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,34.0
LITE,2,"Growth, 52 Week High",Lumentum Holdings Inc,Technology,Communication Equipment,USA,57.26B,8.693375229117569,146.62,48.89,1.8463371054198818,1.24,5610000.0,17.28,44.49,187.42,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 17.3, 'sma50': 44.5, 'sma200': 187.4}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,58.0
NVT,2,"Growth, 52 Week High",nVent Electric plc,Industrials,Electrical Equipment & Parts,United Kingdom,20.31B,4.689117108510469,116.24,18.36,1.1181684256285074,1.08,2280000.0,8.98,10.29,27.76,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 9.0, 'sma50': 10.3, 'sma200': 27.8}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,53.0
SATL,2,"10% Change, Week 20%+ Gain",Satellogic Inc,Industrials,Aerospace & Defense,USA,768.62M,8.921933085501859,89.07,0.0,-9.274873524451932,2.91,8980000.0,61.03,48.68,74.79,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': False, 'sma20': 61.0, 'sma50': 48.7, 'sma200': 74.8}","{'vcp_possible': False, 'confidence': 40, 'signals': ['tight pullback -9% from high', 'holding above 20-day MA'], 'reason': 'tight pullback -9% from high · holding above 20-day MA'}",False,,69.0
SNDK,2,"Growth, IPO",Sandisk Corp,Technology,Computer Hardware,USA,103.69B,7.514804691948525,-327.99,23.6,-9.660493827160499,0.78,18490000.0,8.04,19.52,188.98,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 8.0, 'sma50': 19.5, 'sma200': 189.0}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,42.0
VG,2,"Growth, IPO",Venture Global Inc,Energy,Oil & Gas Midstream,USA,40.79B,7.469879518072288,51.81,176.93,-14.871794871794863,2.57,18980000.0,32.23,57.21,45.33,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 32.2, 'sma50': 57.2, 'sma200': 45.3}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,61.0
ACLS,1,10% Change,Axcelis Technologies Inc,Technology,Semiconductor Equipment & Materials,USA,2.90B,5.042907087615213,-38.28,-17.57,-8.296900806373264,1.72,756080.0,10.72,7.83,14.23,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': False, 'sma20': 10.7, 'sma50': 7.8, 'sma200': 14.2}","{'vcp_possible': True, 'confidence': 55, 'signals': ['moderate tightness ATR 5.0%', 'tight pullback -8% from high', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 5.0% · tight pullback -8% from high · holding above 20-day MA'}",False,,66.0
AHCO,1,52 Week High,AdaptHealth Corp,Healthcare,Medical Devices,USA,1.56B,4.878048780487805,-185.69,-0.49,2.7568922305764465,2.29,1230000.0,15.96,13.47,20.08,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': False, 'sma20': 16.0, 'sma50': 13.5, 'sma200': 20.1}","{'vcp_possible': False, 'confidence': 30, 'signals': ['moderate tightness ATR 4.9%', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 4.9% · holding above 20-day MA'}",False,,45.0
ALAB,1,IPO,Astera Labs Inc,Technology,Semiconductors,USA,20.73B,7.83508541392904,342.36,115.13,-53.685812095853926,0.53,5080000.0,0.3,-14.72,-21.03,"{'stage': 4, 'badge': '⚫ Stage 4', 'perfect': False, 'sma20': 0.3, 'sma50': -14.7, 'sma200': -21.0}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,12.0
