Ticker,Appearances,Screeners,Company,Sector,Industry,Country,Market Cap,Volume,Price,ATR%,EPS Y/Y TTM,Sales Y/Y TTM,Dist From High%,Rel Volume,Avg Volume,SMA20%,SMA50%,SMA200%,EPS Q/Q,Inst Own,Inst Trans,Perf Month,Perf Quarter,Perf Half Y,Perf Year,Stage,VCP,_10pct_excluded,_10pct_exclude_reasons,Quality Score,RS Rating
AHR,3,"Growth, IPO, Base / Near-High",American Healthcare REIT Inc,Real Estate,REIT - Healthcare Facilities,USA,12.24B,"2,851,180",55.76,2.2417503586800573,408.85,16.39,-5.00851788756389,0.86,3320000.0,0.69,1.05,10.05,157.4,104.35,17.06,0.47,20.25,6.98,32.79,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 0.7, 'sma50': 1.1, 'sma200': 10.1}","{'vcp_possible': True, 'confidence': 85, 'signals': ['tight range ATR 2.2%', 'below-avg volume RVol 0.9x', 'tight pullback -5% from high', 'holding above 20-day MA'], 'reason': 'tight range ATR 2.2% · below-avg volume RVol 0.9x · tight pullback -5% from high · holding above 20-day MA'}",False,,117.0,33
BMNR,3,"10% Change, Growth, Power Move",BitMine Immersion Technologies Inc,Financial,Capital Markets,USA,15.96B,"66,810,882",26.45,6.049149338374291,-188.92,1022.3,-59.67987804878049,1.72,38860000.0,22.33,45.12,18.36,51.19,41.38,8.97,43.52,47.85,29.98,-41.04,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 22.3, 'sma50': 45.1, 'sma200': 18.4}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,74.0,88
CRCL,3,"10% Change, IPO, Power Move",Circle Internet Group Inc,Financial,Capital Markets,USA,26.21B,"24,676,123",103.23,6.5872323936840065,204.95,37.19,-35.266821345707655,1.79,13780000.0,25.31,43.74,21.48,108.51,44.89,6.37,63.13,14.02,-2.37,-12.86,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 25.3, 'sma50': 43.7, 'sma200': 21.5}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,80.0,11
HNGE,3,"Growth, IPO, Base / Near-High",Hinge Health Inc,Healthcare,Health Information Services,USA,7.32B,"1,300,228",90.76,5.00220361392684,124.68,49.76,-5.032960133933228,0.65,1990000.0,1.61,6.73,60.55,107.01,67.29,14.27,12.34,44.11,97.99,58.01,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 1.6, 'sma50': 6.7, 'sma200': 60.5}","{'vcp_possible': True, 'confidence': 85, 'signals': ['moderate tightness ATR 5.0%', 'volume dry-up RVol 0.7x', 'tight pullback -5% from high', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 5.0% · volume dry-up RVol 0.7x · tight pullback -5% from high · holding above 20-day MA'}",False,,105.0,83
SNOW,3,"Growth, 52 Week High, Power Move",Snowflake Inc,Technology,Software - Application,USA,123.55B,"21,815,067",356.47,5.010239290823912,23.46,32.04,4.245015411429609,3.92,5570000.0,8.71,20.79,63.13,38.26,81.04,6.32,12.51,45.99,100.88,55.44,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 8.7, 'sma50': 20.8, 'sma200': 63.1}","{'vcp_possible': False, 'confidence': 30, 'signals': ['moderate tightness ATR 5.0%', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 5.0% · holding above 20-day MA'}",False,,113.0,85
TEAM,3,"Growth, 52 Week High, Base / Near-High",Atlassian Corp,Technology,Software - Application,USA,49.28B,"3,354,791",194.68,4.813026505033901,81.08,26.02,-1.3279270146984268,0.73,4610000.0,13.67,57.49,78.52,703.74,63.92,1.49,71.8,91.8,135.95,14.06,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 13.7, 'sma50': 57.5, 'sma200': 78.5}","{'vcp_possible': True, 'confidence': 60, 'signals': ['moderate tightness ATR 4.8%', 'volume dry-up RVol 0.7x', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 4.8% · volume dry-up RVol 0.7x · holding above 20-day MA'}",False,,109.0,95
WT,3,"Growth, 52 Week High, Base / Near-High",WisdomTree Inc,Financial,Asset Management,USA,3.77B,"2,696,274",24.87,3.9806996381182147,38.12,37.14,-3.939745075318657,0.96,2810000.0,6.32,18.68,47.15,67.69,107.08,-0.85,12.89,31.1,45.35,84.09,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 6.3, 'sma50': 18.7, 'sma200': 47.1}","{'vcp_possible': True, 'confidence': 85, 'signals': ['tight range ATR 4.0%', 'below-avg volume RVol 1.0x', 'tight pullback -4% from high', 'holding above 20-day MA'], 'reason': 'tight range ATR 4.0% · below-avg volume RVol 1.0x · tight pullback -4% from high · holding above 20-day MA'}",False,,91.0,74
ABTC,2,"10% Change, Power Move",American Bitcoin Corp,Financial,Capital Markets,USA,680.13M,"2,536,671",9.34,8.993576017130621,86.92,2495.03,-95.71166207529845,1.7,1490000.0,19.87,30.1,-49.61,84.59,5.01,4.32,42.81,-31.84,-46.78,-92.26,"{'stage': 4, 'badge': '⚫ Stage 4', 'perfect': False, 'sma20': 19.9, 'sma50': 30.1, 'sma200': -49.6}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,12.0,2
ARGX,2,"Growth, Base / Near-High",Argen X SE ADR,Healthcare,Biotechnology,Netherlands,65.90B,"210,432",1053.46,3.0053348015112107,30.28,70.57,-1.7981822419016469,0.63,332330.0,7.49,14.19,24.8,104.48,45.59,-3.71,21.37,25.07,44.68,45.91,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 7.5, 'sma50': 14.2, 'sma200': 24.8}","{'vcp_possible': True, 'confidence': 75, 'signals': ['tight range ATR 3.0%', 'volume dry-up RVol 0.6x', 'holding above 20-day MA'], 'reason': 'tight range ATR 3.0% · volume dry-up RVol 0.6x · holding above 20-day MA'}",False,,103.0,62
ARX,2,"Growth, Base / Near-High",Accelerant Holdings,Financial,Insurance Brokers,Cayman Islands,4.28B,"1,635,383",19.70,2.2842639593908634,0.0,0.0,-7.294117647058829,0.44,3720000.0,7.99,30.28,39.94,795.5,29.89,5.45,60.69,33.56,68.23,-4.0,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 8.0, 'sma50': 30.3, 'sma200': 39.9}","{'vcp_possible': True, 'confidence': 100, 'signals': ['tight range ATR 2.3%', 'volume dry-up RVol 0.4x', 'tight pullback -7% from high', 'holding above 20-day MA'], 'reason': 'tight range ATR 2.3% · volume dry-up RVol 0.4x · tight pullback -7% from high · holding above 20-day MA'}",False,,101.0,54
ASND,2,"Growth, Base / Near-High",Ascendis Pharma A/S,Healthcare,Biotechnology,Denmark,17.80B,"1,017,523",271.12,3.0908822661552082,379.16,128.41,-3.909268119794429,1.56,651080.0,6.45,5.33,16.75,583.5,102.1,13.77,11.02,23.89,14.23,35.55,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 6.5, 'sma50': 5.3, 'sma200': 16.8}","{'vcp_possible': True, 'confidence': 70, 'signals': ['tight range ATR 3.1%', 'tight pullback -4% from high', 'holding above 20-day MA'], 'reason': 'tight range ATR 3.1% · tight pullback -4% from high · holding above 20-day MA'}",False,,120.0,42
BLSH,2,"IPO, Power Move",Bullish,Technology,Software - Infrastructure,Cayman Islands,5.44B,"2,189,635",36.22,5.438983986747653,0.0,0.0,-51.693785009335826,1.33,1640000.0,24.32,39.75,6.37,-292.45,39.49,3.09,51.93,22.12,3.43,-33.25,"{'stage': 1, 'badge': '🔵 Stage 1', 'perfect': False, 'sma20': 24.3, 'sma50': 39.8, 'sma200': 6.4}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,38.0,9
BULL,2,"Growth, Power Move",Webull Corp,Technology,Software - Application,USA,5.30B,"32,673,852",10.00,5.300000000000001,-97.17,47.94,-37.65586034912718,2.56,12780000.0,16.98,28.1,39.59,103.73,35.37,5.45,35.5,63.93,74.52,-23.14,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 17.0, 'sma50': 28.1, 'sma200': 39.6}","{'vcp_possible': False, 'confidence': 30, 'signals': ['moderate tightness ATR 5.3%', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 5.3% · holding above 20-day MA'}",False,,103.0,91
CAI,2,"Growth, IPO",Caris Life Sciences Inc,Healthcare,Biotechnology,USA,7.16B,"6,429,650",25.32,5.33175355450237,113.1,85.37,-32.335649385355424,1.54,4179999.9999999995,4.39,27.54,20.91,99.88,49.15,-1.55,53.92,46.53,31.74,-31.2,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 4.4, 'sma50': 27.5, 'sma200': 20.9}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,58.0,86
