Ticker,Appearances,Screeners,Company,Sector,Industry,Country,Market Cap
ADEA,2,"Growth, 52 Week High",Adeia Inc,Technology,Software - Application,USA,2.50B
CIEN,2,"Growth, 52 Week High",CIENA Corp,Technology,Communication Equipment,USA,51.45B
KRMN,2,"Growth, IPO",Karman Holdings Inc,Industrials,Aerospace & Defense,USA,13.77B
LASR,2,"Growth, 52 Week High",nLIGHT Inc,Technology,Semiconductors,USA,3.82B
SNDK,2,"Growth, IPO",Sandisk Corp,Technology,Computer Hardware,USA,103.86B
VG,2,"Growth, IPO",Venture Global Inc,Energy,Oil & Gas Midstream,USA,30.17B
AAOI,1,Growth,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,7.07B
ABVX,1,IPO,Abivax ADR,Healthcare,Biotechnology,France,9.72B
ADTN,1,Growth,ADTRAN Holdings Inc,Technology,Communication Equipment,USA,833.22M
AHR,1,IPO,American Healthcare REIT Inc,Real Estate,REIT - Healthcare Facilities,USA,10.01B
ALAB,1,IPO,Astera Labs Inc,Technology,Semiconductors,USA,21.70B
ALM,1,Growth,Almonty Industries Inc,Basic Materials,Other Industrial Metals & Mining,Canada,5.07B
ANET,1,Growth,Arista Networks Inc,Technology,Computer Hardware,USA,170.07B
AR,1,Growth,Antero Resources Corp,Energy,Oil & Gas E&P,USA,12.66B
AXTI,1,52 Week High,AXT Inc,Technology,Semiconductor Equipment & Materials,USA,2.67B
BCRX,1,10% Change,Biocryst Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,2.33B
BDSX,1,Growth,Biodesix Inc,Healthcare,Diagnostics & Research,USA,170.45M
BIOA,1,10% Change,BioAge Labs Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,899.77M
BMBL,1,Week 20%+ Gain,Bumble Inc,Communication Services,Internet Content & Information,USA,436.30M
BNAI,1,Growth,Brand Engagement Network Inc,Technology,Software - Infrastructure,USA,218.25M
BW,1,Growth,Babcock & Wilcox Enterprises Inc,Industrials,Specialty Industrial Machinery,USA,1.30B
CART,1,IPO,Maplebear Inc,Consumer Cyclical,Internet Retail,USA,9.33B
CAVA,1,IPO,Cava Group Inc,Consumer Cyclical,Restaurants,USA,10.15B
CGON,1,IPO,Cg Oncology Inc,Healthcare,Biotechnology,USA,5.56B
CORZ,1,IPO,Core Scientific Inc,Technology,Software - Infrastructure,USA,5.35B
CRCL,1,Growth,Circle Internet Group Inc,Financial,Capital Markets,USA,31.06B
CRWV,1,IPO,CoreWeave Inc,Technology,Software - Infrastructure,USA,45.14B
CTMX,1,Week 20%+ Gain,CytomX Therapeutics Inc,Healthcare,Biotechnology,USA,1.14B
DELL,1,Growth,Dell Technologies Inc,Technology,Computer Hardware,USA,103.74B
DOCN,1,52 Week High,DigitalOcean Holdings Inc,Technology,Software - Infrastructure,USA,6.62B
DTE,1,Growth,DTE Energy Co,Utilities,Utilities - Regulated Electric,USA,31.02B
EQT,1,Growth,EQT Corp,Energy,Oil & Gas E&P,USA,40.15B
EXAS,1,52 Week High,Exact Sciences Corp,Healthcare,Diagnostics & Research,USA,19.82B
FIGS,1,Growth,Figs Inc,Consumer Cyclical,Apparel Manufacturing,USA,2.48B
GSIT,1,10% Change,GSI Technology Inc,Technology,Semiconductors,USA,353.53M
KEYS,1,Growth,Keysight Technologies Inc,Technology,Scientific & Technical Instruments,USA,49.04B
KGS,1,IPO,Kodiak Gas Services Inc,Energy,Oil & Gas Equipment & Services,USA,4.73B
KVYO,1,IPO,Klaviyo Inc,Technology,Software - Application,USA,5.85B
LWLG,1,Week 20%+ Gain,Lightwave Logic Inc,Basic Materials,Specialty Chemicals,USA,1.11B
MOVE,1,Growth,Movano Inc,Healthcare,Medical Devices,USA,16.48M
MRVL,1,Growth,Marvell Technology Inc,Technology,Semiconductors,USA,80.07B
MU,1,Growth,Micron Technology Inc,Technology,Semiconductors,USA,497.25B
NBIS,1,Week 20%+ Gain,Nebius Group N.V,Technology,Software - Infrastructure,Netherlands,32.68B
NSA,1,52 Week High,National Storage Affiliates Trust,Real Estate,REIT - Industrial,USA,5.40B
NTLA,1,Growth,Intellia Therapeutics Inc,Healthcare,Biotechnology,USA,1.58B
NVAX,1,Growth,"Novavax, Inc",Healthcare,Biotechnology,USA,1.64B
NVT,1,Growth,nVent Electric plc,Industrials,Electrical Equipment & Parts,United Kingdom,18.49B
OCGN,1,Week 20%+ Gain,Ocugen Inc,Healthcare,Biotechnology,USA,764.01M
OS,1,IPO,OneStream Inc,Technology,Software - Infrastructure,USA,5.95B
OSS,1,Growth,One Stop Systems Inc,Technology,Computer Hardware,USA,250.31M
PARR,1,52 Week High,Par Pacific Holdings Inc,Energy,Oil & Gas Refining & Marketing,USA,2.60B
RSI,1,Growth,Rush Street Interactive Inc,Consumer Cyclical,Gambling,USA,4.69B
SAIL,1,IPO,Sailpoint Inc,Technology,Software - Infrastructure,USA,8.47B
SNDX,1,Growth,Syndax Pharmaceuticals Inc,Healthcare,Biotechnology,USA,2.12B
SQM,1,Growth,Sociedad Quimica Y Minera de Chile S.A. ADR,Basic Materials,Specialty Chemicals,Chile,10.90B
TNGX,1,52 Week High,Tango Therapeutics Inc,Healthcare,Biotechnology,USA,2.55B
UAMY,1,10% Change,United States Antimony Corp,Basic Materials,Other Industrial Metals & Mining,USA,1.54B
ULS,1,IPO,UL Solutions Inc,Industrials,Specialty Business Services,USA,17.12B
UMAC,1,Growth,Unusual Machines Inc,Technology,Computer Hardware,USA,723.74M
USAR,1,IPO,USA Rare Earth Inc,Basic Materials,Other Industrial Metals & Mining,USA,4.25B
VELO,1,Growth,Velo3D Inc,Technology,Computer Hardware,USA,358.19M
VRE,1,52 Week High,Veris Residential Inc,Real Estate,REIT - Residential,USA,1.76B
VRT,1,Growth,Vertiv Holdings Co,Industrials,Electrical Equipment & Parts,USA,101.29B
WOOF,1,Week 20%+ Gain,Petco Health and Wellness Co Inc,Consumer Cyclical,Specialty Retail,USA,953.41M
