Ticker,Appearances,Screeners,Company,Sector,Industry,Country,Market Cap,Volume,ATR%,EPS Y/Y TTM,Sales Y/Y TTM,Dist From High%,Rel Volume,Avg Volume,SMA20%,SMA50%,SMA200%,EPS Q/Q,Inst Own,Inst Trans,Perf Month,Perf Quarter,Stage,VCP,_10pct_excluded,_10pct_exclude_reasons,Quality Score
ALGM,3,"Growth, 52 Week High, Power Move",Allegro Microsystems Inc,Technology,Semiconductors,USA,8.99B,48.50,4.432989690721649,79.04,8.67,6.8376068376068355,1.57,2210000.0,22.79,35.29,51.68,219.57,74.04,-0.49,53.82,27.7,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 22.8, 'sma50': 35.3, 'sma200': 51.7}","{'vcp_possible': False, 'confidence': 30, 'signals': ['moderate tightness ATR 4.4%', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 4.4% · holding above 20-day MA'}",False,,94.0
ATOM,3,"10% Change, Week 20%+ Gain, Power Move",Atomera Inc,Technology,Semiconductor Equipment & Materials,USA,316.75M,"2,369,205",10.39119804400978,3.52,-51.85,-14.702815432742444,0.81,2920000.0,39.67,55.95,116.06,12.98,32.2,-1.32,114.7,168.2,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 39.7, 'sma50': 56.0, 'sma200': 116.1}","{'vcp_possible': True, 'confidence': 55, 'signals': ['below-avg volume RVol 0.8x', 'tight pullback -15% from high', 'holding above 20-day MA'], 'reason': 'below-avg volume RVol 0.8x · tight pullback -15% from high · holding above 20-day MA'}",True,RVol 0.8x < 1.5x,76.0
CIEN,3,"Growth, 52 Week High, Power Move",CIENA Corp,Technology,Communication Equipment,USA,74.60B,527.58,6.205693923196482,193.36,26.54,-0.053044367824794936,0.76,3490000.0,8.1,28.13,124.66,1618.0,97.36,-2.85,35.89,108.09,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 8.1, 'sma50': 28.1, 'sma200': 124.7}","{'vcp_possible': False, 'confidence': 45, 'signals': ['volume dry-up RVol 0.8x', 'holding above 20-day MA'], 'reason': 'volume dry-up RVol 0.8x · holding above 20-day MA'}",False,,97.0
SNDK,3,"Growth, IPO, 52 Week High",Sandisk Corp,Technology,Computer Hardware,USA,161.85B,1096.51,5.938842327019362,-327.99,23.6,-0.5883952855847752,0.71,19170000.0,20.49,45.89,215.75,617.71,77.24,-9.08,72.59,103.32,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 20.5, 'sma50': 45.9, 'sma200': 215.8}","{'vcp_possible': True, 'confidence': 60, 'signals': ['moderate tightness ATR 5.9%', 'volume dry-up RVol 0.7x', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 5.9% · volume dry-up RVol 0.7x · holding above 20-day MA'}",False,,115.0
TTMI,3,"Growth, 52 Week High, Power Move",TTM Technologies Inc,Technology,Electronic Components,USA,16.43B,158.22,7.148274554417899,211.82,23.1,6.126665146291388,2.78,2049999.9999999998,28.19,44.93,109.71,52.7,96.02,-3.35,62.41,63.99,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 28.2, 'sma50': 44.9, 'sma200': 109.7}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",False,,107.0
UAMY,3,"10% Change, Growth, Power Move",United States Antimony Corp,Basic Materials,Other Industrial Metals & Mining,USA,1.72B,"21,267,978",9.575353871773522,-115.62,162.8,-39.06646372399798,1.7,12490000.0,22.2,27.16,62.09,74.07,42.1,20.44,37.57,44.87,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 22.2, 'sma50': 27.2, 'sma200': 62.1}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",True,-39% from 52w high,93.0
USAR,3,"10% Change, IPO, Power Move",USA Rare Earth Inc,Basic Materials,Other Industrial Metals & Mining,USA,5.66B,"30,169,848",8.16326530612245,-1089.26,0.0,-40.950432014552064,1.84,16410000.0,31.14,37.7,43.53,-1079.62,28.17,16.3,71.59,17.67,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 31.1, 'sma50': 37.7, 'sma200': 43.5}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",False,,90.0
VISN,3,"52 Week High, Week 20%+ Gain, Power Move",Vistance Networks Inc,Technology,Communication Equipment,USA,2.88B,12.80,4.296875,421.24,-3.37,18.17057183478279,3.06,9740000.0,34.17,41.39,55.31,12917.8,83.14,-5.61,44.07,42.04,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 34.2, 'sma50': 41.4, 'sma200': 55.3}","{'vcp_possible': False, 'confidence': 30, 'signals': ['moderate tightness ATR 4.3%', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 4.3% · holding above 20-day MA'}",False,,104.0
ADEA,2,"Growth, 52 Week High",Adeia Inc,Technology,Software - Application,USA,3.53B,31.85,3.139717425431711,71.9,17.91,2.6029250692610084,1.2,1150000.0,12.3,29.12,77.88,105.74,95.86,1.82,32.54,75.87,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 12.3, 'sma50': 29.1, 'sma200': 77.9}","{'vcp_possible': False, 'confidence': 45, 'signals': ['tight range ATR 3.1%', 'holding above 20-day MA'], 'reason': 'tight range ATR 3.1% · holding above 20-day MA'}",False,,82.0
ALAB,2,"Growth, IPO",Astera Labs Inc,Technology,Semiconductors,USA,33.15B,194.74,6.76286330491938,342.36,115.13,-25.926207683529846,0.94,5460000.0,16.05,39.79,20.0,62.82,68.59,2.44,77.68,21.36,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 16.1, 'sma50': 39.8, 'sma200': 20.0}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,59.0
ALMU,2,"10% Change, Power Move",Aeluma Inc,Technology,Semiconductors,USA,419.29M,"1,962,918",10.433662516101332,70.84,92.49,-10.007727975270475,1.84,1070000.0,43.78,50.39,37.3,56.24,22.1,3.89,77.92,35.64,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 43.8, 'sma50': 50.4, 'sma200': 37.3}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,44.0
AMD,2,"Growth, 52 Week High",Advanced Micro Devices Inc,Technology,Semiconductors,USA,577.94B,354.49,4.505063612513752,163.27,34.34,0.4249412164650579,1.08,38860000.0,27.63,52.64,68.5,210.61,68.58,2.55,74.26,40.57,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 27.6, 'sma50': 52.6, 'sma200': 68.5}","{'vcp_possible': False, 'confidence': 30, 'signals': ['moderate tightness ATR 4.5%', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 4.5% · holding above 20-day MA'}",False,,102.0
AMSC,2,"Growth, Power Move",American Superconductor Corp,Industrials,Specialty Industrial Machinery,USA,2.55B,53.54,6.55584609637654,3676.54,40.98,-24.045963966520066,1.48,1250000.0,30.48,50.93,28.23,3989.7,70.85,0.71,58.17,70.24,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 30.5, 'sma50': 50.9, 'sma200': 28.2}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,56.0
AUR,2,"10% Change, Power Move",Aurora Innovation Inc,Technology,Information Technology Services,USA,11.53B,"59,284,104",5.952380952380952,3.79,0.0,-28.727272727272723,3.22,18420000.0,22.76,28.89,19.38,5.0,58.25,1.39,42.72,30.38,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 22.8, 'sma50': 28.9, 'sma200': 19.4}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,63.0
AXSM,2,"10% Change, Power Move",Axsome Therapeutics Inc,Healthcare,Biotechnology,USA,10.63B,"2,760,892",3.956678700361011,38.38,65.55,7.366005674506582,4.56,605590.0,13.9,21.28,41.24,63.45,74.7,0.09,22.91,12.14,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 13.9, 'sma50': 21.3, 'sma200': 41.2}","{'vcp_possible': False, 'confidence': 45, 'signals': ['tight range ATR 4.0%', 'holding above 20-day MA'], 'reason': 'tight range ATR 4.0% · holding above 20-day MA'}",False,,101.0
BE,2,"Growth, 52 Week High",Bloom Energy Corp,Industrials,Electrical Equipment & Parts,USA,80.60B,283.36,7.213438735177865,-246.15,56.53,-2.4578313253011963,1.27,10930000.0,38.98,63.91,150.64,313.73,84.88,2.88,109.14,81.05,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 39.0, 'sma50': 63.9, 'sma200': 150.6}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",False,,99.0
