Ticker,Company,Sector,Industry,Market Cap,Days Seen,Total Days,Dates,Max ATR%,Max EPS%,Max Appearances,Screeners Hit,Base Score,Signal Score,Q Rank,Stage,Quality Mod,Watch,Last SMA50%,EP,IPO,MULTI,HIGH,CHAR,CC_DEEP,CC_WATCH
BW,Babcock & Wilcox Enterprises Inc,Industrials,Specialty Industrial Machinery,2.98B,5,5,"2026-05-11, 2026-05-12, 2026-05-13, 2026-05-14, 2026-05-15",8.6,38.8,4,"10% Change, 52 Week High, Growth, Power Move, Week 20%+ Gain",170.0,275.0,96,Uptrend,30,False,26.1,True,False,True,False,True,False,False
MRAM,Everspin Technologies Inc,Technology,Semiconductors,880.93M,5,5,"2026-05-11, 2026-05-12, 2026-05-13, 2026-05-14, 2026-05-15",11.2,230.4,4,"10% Change, 52 Week High, Power Move, Week 20%+ Gain",160.0,265.0,85,Uptrend,30,False,219.8,True,False,True,False,True,False,False
FCEL,Fuelcell Energy Inc,Industrials,Electrical Equipment & Parts,1.13B,5,5,"2026-05-11, 2026-05-12, 2026-05-13, 2026-05-14, 2026-05-15",9.4,11.6,4,"10% Change, 52 Week High, Power Move, Week 20%+ Gain",160.0,265.0,90,Uptrend,30,False,83.8,True,False,True,False,True,False,False
RKLB,Rocket Lab Corp,Industrials,Aerospace & Defense,72.21B,5,5,"2026-05-11, 2026-05-12, 2026-05-13, 2026-05-14, 2026-05-15",7.1,20.0,5,"10% Change, 52 Week High, Growth, Power Move, Week 20%+ Gain",170.0,250.0,89,Uptrend,30,False,56.6,True,False,True,False,False,False,False
INOD,Innodata Inc,Technology,Information Technology Services,3.14B,5,5,"2026-05-11, 2026-05-12, 2026-05-13, 2026-05-14, 2026-05-15",10.0,2.6,5,"10% Change, 52 Week High, Growth, Power Move, Week 20%+ Gain",170.0,245.0,46,Transitional,0,True,131.9,True,False,True,False,True,False,False
COHR,Coherent Corp,Technology,Scientific & Technical Instruments,74.82B,5,5,"2026-05-11, 2026-05-12, 2026-05-13, 2026-05-14, 2026-05-15",7.0,1103.2,4,"10% Change, 52 Week High, Growth, Power Move",160.0,240.0,99,Uptrend,30,False,31.4,True,False,True,False,False,False,False
LITE,Lumentum Holdings Inc,Technology,Communication Equipment,75.52B,5,5,"2026-05-11, 2026-05-12, 2026-05-13, 2026-05-14, 2026-05-15",8.5,196.4,4,"10% Change, 52 Week High, Growth, Power Move",160.0,240.0,94,Uptrend,30,False,32.4,True,False,True,False,False,False,False
LQDA,Liquidia Corp,Healthcare,Drug Manufacturers - Specialty & Generic,5.06B,5,5,"2026-05-11, 2026-05-12, 2026-05-13, 2026-05-14, 2026-05-15",5.5,115.4,4,"10% Change, Growth, Power Move, Week 20%+ Gain",160.0,235.0,99,Uptrend,30,False,40.5,False,False,True,False,True,False,False
AMD,Advanced Micro Devices Inc,Technology,Semiconductors,691.54B,5,5,"2026-05-11, 2026-05-12, 2026-05-13, 2026-05-14, 2026-05-15",5.5,123.9,3,"52 Week High, Growth, Week 20%+ Gain",150.0,230.0,100,Uptrend,30,False,76.7,True,False,True,False,False,False,False
MU,Micron Technology Inc,Technology,Semiconductors,817.22B,5,5,"2026-05-11, 2026-05-12, 2026-05-13, 2026-05-14, 2026-05-15",6.3,410.2,3,"52 Week High, Growth, Week 20%+ Gain",150.0,230.0,94,Uptrend,30,False,65.3,True,False,True,False,False,False,False
