Ticker,Appearances,Screeners,Company,Sector,Industry,Country,Market Cap,Volume,ATR%,EPS Y/Y TTM,Sales Y/Y TTM,Dist From High%,Rel Volume,Avg Volume,SMA20%,SMA50%,SMA200%,EPS Q/Q,Inst Own,Inst Trans,Stage,VCP,_10pct_excluded,_10pct_exclude_reasons,Quality Score
CAR,4,"10% Change, 52 Week High, Week 20%+ Gain, Power Move",Avis Budget Group Inc,Industrials,Rental & Leasing Services,USA,14.51B,"5,902,398",7.580911653221888,51.2,-1.16,10.470781181636891,4.64,1270000.0,117.14,195.97,179.2,61.85,0.0,8.01,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 117.1, 'sma50': 196.0, 'sma200': 179.2}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,74.0
SNDK,4,"Growth, IPO, 52 Week High, Week 20%+ Gain",Sandisk Corp,Technology,Computer Hardware,USA,139.40B,944.46,6.595303136183639,-327.99,23.6,-0.9387356960803728,0.99,19710000.0,28.71,42.29,223.91,617.71,76.83,-8.96,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 28.7, 'sma50': 42.3, 'sma200': 223.9}","{'vcp_possible': False, 'confidence': 30, 'signals': ['below-avg volume RVol 1.0x', 'holding above 20-day MA'], 'reason': 'below-avg volume RVol 1.0x · holding above 20-day MA'}",False,,100.0
BE,3,"52 Week High, Week 20%+ Gain, Power Move",Bloom Energy Corp,Industrials,Electrical Equipment & Parts,USA,61.45B,219.03,7.24558279687714,-185.53,37.33,21.076538083305827,2.3,10860000.0,45.97,43.45,117.9,-98.85,85.65,2.79,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 46.0, 'sma50': 43.5, 'sma200': 117.9}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",False,,94.0
CRDO,3,"Growth, Week 20%+ Gain, Power Move",Credo Technology Group Holding Ltd,Technology,Semiconductors,Cayman Islands,29.42B,159.52,6.563440320962889,6897.08,226.12,-25.388213283442475,2.6,7090000.0,49.28,41.52,21.2,408.64,75.74,5.46,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 49.3, 'sma50': 41.5, 'sma200': 21.2}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,82.0
TNGX,3,"10% Change, 52 Week High, Power Move",Tango Therapeutics Inc,Healthcare,Biotechnology,USA,3.43B,"3,496,851",5.652535328345802,28.08,48.29,8.339337175792515,1.05,3320000.0,19.13,48.35,136.7,15.03,92.08,14.0,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 19.1, 'sma50': 48.4, 'sma200': 136.7}","{'vcp_possible': False, 'confidence': 30, 'signals': ['moderate tightness ATR 5.7%', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 5.7% · holding above 20-day MA'}",True,RVol 1.1x < 1.5x,85.0
TVTX,3,"Growth, Week 20%+ Gain, Power Move",Travere Therapeutics Inc,Healthcare,Biotechnology,USA,3.89B,42.13,6.195110372656064,86.22,110.46,0.0,9.25,1570000.0,41.81,42.64,55.24,66.42,113.36,1.65,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 41.8, 'sma50': 42.6, 'sma200': 55.2}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",False,,103.0
TWST,3,"10% Change, 52 Week High, Power Move",Twist Bioscience Corp,Healthcare,Diagnostics & Research,USA,3.52B,"2,936,367",6.044243163211985,62.54,18.59,-0.8120248790601359,2.34,1260000.0,19.85,19.73,59.48,6.46,119.55,2.48,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 19.9, 'sma50': 19.7, 'sma200': 59.5}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",False,,93.0
VIK,3,"Growth, IPO, 52 Week High",Viking Holdings Ltd,Consumer Cyclical,Travel Services,Bermuda,36.30B,81.43,4.457816529534568,697.07,21.89,-0.06136475208640135,1.28,2730000.0,10.52,9.36,23.83,179.27,46.12,0.8,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 10.5, 'sma50': 9.4, 'sma200': 23.8}","{'vcp_possible': False, 'confidence': 30, 'signals': ['moderate tightness ATR 4.5%', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 4.5% · holding above 20-day MA'}",False,,99.0
ADTN,2,"Growth, 52 Week High",ADTRAN Holdings Inc,Technology,Communication Equipment,USA,1.23B,15.30,4.052287581699346,90.84,17.46,0.3278688524590123,2.05,1590000.0,17.95,36.63,59.92,96.74,93.49,1.13,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 17.9, 'sma50': 36.6, 'sma200': 59.9}","{'vcp_possible': False, 'confidence': 30, 'signals': ['moderate tightness ATR 4.1%', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 4.1% · holding above 20-day MA'}",False,,79.0
AEHR,2,"52 Week High, Week 20%+ Gain",Aehr Test Systems,Technology,Semiconductor Equipment & Materials,USA,2.34B,74.38,7.959128798063995,-147.85,-26.39,-0.20126123708574806,1.26,2140000.0,59.93,90.15,173.19,-383.33,68.05,3.11,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 59.9, 'sma50': 90.2, 'sma200': 173.2}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",False,,69.0
