Ticker,Appearances,Screeners,Company,Sector,Industry,Country,Market Cap,Volume,Price,ATR%,EPS Y/Y TTM,Sales Y/Y TTM,Dist From High%,Rel Volume,Avg Volume,SMA20%,SMA50%,SMA200%,EPS Q/Q,Inst Own,Inst Trans,Perf Month,Perf Quarter,Perf Half Y,Perf Year,Stage,VCP,_10pct_excluded,_10pct_exclude_reasons,Quality Score,RS Rating
HNGE,3,"Growth, IPO, Base / Near-High",Hinge Health Inc,Healthcare,Health Information Services,USA,7.47B,"2,003,466",92.56,5.153414001728608,124.68,49.76,-3.1495239091765104,1.0,2009999.9999999998,5.53,10.48,65.9,107.01,67.31,14.27,23.89,51.94,106.33,65.05,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 5.5, 'sma50': 10.5, 'sma200': 65.9}","{'vcp_possible': True, 'confidence': 55, 'signals': ['moderate tightness ATR 5.2%', 'tight pullback -3% from high', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 5.2% · tight pullback -3% from high · holding above 20-day MA'}",False,,108.0,90
STDN,3,"10% Change, Week 20%+ Gain, Power Move",Standard Nuclear Inc,Basic Materials,Specialty Chemicals,USA,2.52B,"1,863,622",16.11,8.379888268156426,0.0,0.0,4.379940391343795,1.68,1110000.0,33.76,50.19,50.19,0.0,0.0,8.81,104.18,0.0,0.0,0.0,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 33.8, 'sma50': 50.2, 'sma200': 50.2}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,48.0,8
TEAM,3,"Growth, 52 Week High, Base / Near-High",Atlassian Corp,Technology,Software - Application,USA,49.15B,"5,117,063",194.17,4.774166967090694,81.08,26.02,-0.40521132540009,1.04,4940000.0,21.7,65.8,78.94,703.74,63.92,1.49,92.22,67.46,163.1,9.22,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 21.7, 'sma50': 65.8, 'sma200': 78.9}","{'vcp_possible': False, 'confidence': 30, 'signals': ['moderate tightness ATR 4.8%', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 4.8% · holding above 20-day MA'}",False,,99.0,95
AAMI,2,"Growth, Base / Near-High",Acadian Asset Management Inc,Financial,Asset Management,USA,3.34B,"560,558",94.20,2.91932059447983,17.81,24.02,-4.384896467722288,1.21,462320.0,1.72,11.6,47.06,171.86,103.2,5.65,8.91,30.29,71.43,84.81,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 1.7, 'sma50': 11.6, 'sma200': 47.1}","{'vcp_possible': True, 'confidence': 70, 'signals': ['tight range ATR 2.9%', 'tight pullback -4% from high', 'holding above 20-day MA'], 'reason': 'tight range ATR 2.9% · tight pullback -4% from high · holding above 20-day MA'}",False,,100.0,79
AHR,2,"IPO, Base / Near-High",American Healthcare REIT Inc,Real Estate,REIT - Healthcare Facilities,USA,12.12B,"1,874,957",55.21,2.2821952544828834,408.85,16.39,-5.945485519591143,0.57,3320000.0,0.05,0.88,9.23,157.4,104.36,17.06,-0.7,16.9,4.37,29.03,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 0.1, 'sma50': 0.9, 'sma200': 9.2}","{'vcp_possible': True, 'confidence': 100, 'signals': ['tight range ATR 2.3%', 'volume dry-up RVol 0.6x', 'tight pullback -6% from high', 'holding above 20-day MA'], 'reason': 'tight range ATR 2.3% · volume dry-up RVol 0.6x · tight pullback -6% from high · holding above 20-day MA'}",False,,112.0,30
AMG,2,"Growth, Base / Near-High",Affiliated Managers Group Inc,Financial,Asset Management,USA,9.52B,"307,296",368.19,2.903392270295228,108.91,11.74,-6.293902066578438,1.02,299920.0,0.45,2.02,17.83,146.59,98.58,-0.78,0.4,21.74,17.66,63.77,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 0.5, 'sma50': 2.0, 'sma200': 17.8}","{'vcp_possible': True, 'confidence': 70, 'signals': ['tight range ATR 2.9%', 'tight pullback -6% from high', 'holding above 20-day MA'], 'reason': 'tight range ATR 2.9% · tight pullback -6% from high · holding above 20-day MA'}",False,,97.0,56
ANET,2,"Growth, Base / Near-High",Arista Networks Inc,Technology,Computer Hardware,USA,246.81B,"5,026,497",195.69,4.323164188256937,24.4,32.57,-8.934803853134154,0.64,7910000.0,0.39,8.12,29.8,35.96,74.0,0.41,8.51,14.65,51.35,43.31,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 0.4, 'sma50': 8.1, 'sma200': 29.8}","{'vcp_possible': True, 'confidence': 85, 'signals': ['moderate tightness ATR 4.3%', 'volume dry-up RVol 0.6x', 'tight pullback -9% from high', 'holding above 20-day MA'], 'reason': 'moderate tightness ATR 4.3% · volume dry-up RVol 0.6x · tight pullback -9% from high · holding above 20-day MA'}",False,,102.0,60
ARGX,2,"Growth, Base / Near-High",Argen X SE ADR,Healthcare,Biotechnology,Netherlands,64.54B,"228,111",1031.66,3.1909737704282417,30.28,70.57,-2.8175249865764695,0.68,334940.0,8.31,13.12,22.55,104.48,45.59,-3.71,20.83,23.39,36.33,44.86,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 8.3, 'sma50': 13.1, 'sma200': 22.6}","{'vcp_possible': True, 'confidence': 75, 'signals': ['tight range ATR 3.2%', 'volume dry-up RVol 0.7x', 'holding above 20-day MA'], 'reason': 'tight range ATR 3.2% · volume dry-up RVol 0.7x · holding above 20-day MA'}",False,,103.0,58
ARX,2,"Growth, Base / Near-High",Accelerant Holdings,Financial,Insurance Brokers,Cayman Islands,4.29B,"1,405,683",19.73,2.736948808920426,0.0,0.0,-8.994464944649438,0.38,3710000.0,15.25,33.99,41.12,795.5,29.89,5.45,66.08,24.32,66.64,-1.6,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 15.2, 'sma50': 34.0, 'sma200': 41.1}","{'vcp_possible': True, 'confidence': 100, 'signals': ['tight range ATR 2.7%', 'volume dry-up RVol 0.4x', 'tight pullback -9% from high', 'holding above 20-day MA'], 'reason': 'tight range ATR 2.7% · volume dry-up RVol 0.4x · tight pullback -9% from high · holding above 20-day MA'}",False,,101.0,50
ASND,2,"Growth, Base / Near-High",Ascendis Pharma A/S,Healthcare,Biotechnology,Denmark,17.27B,"1,025,679",263.04,3.0983880778588806,379.16,128.41,-6.7729930887825525,1.56,657400.0,4.51,2.95,13.74,583.5,102.08,13.77,7.84,20.21,8.65,35.4,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 4.5, 'sma50': 3.0, 'sma200': 13.7}","{'vcp_possible': True, 'confidence': 70, 'signals': ['tight range ATR 3.1%', 'tight pullback -7% from high', 'holding above 20-day MA'], 'reason': 'tight range ATR 3.1% · tight pullback -7% from high · holding above 20-day MA'}",False,,122.0,40
