Ticker,Appearances,Screeners,Company,Sector,Industry,Country,Market Cap,ATR%,EPS Y/Y TTM,Sales Y/Y TTM,Dist From High%,Rel Volume,Avg Volume,SMA20%,SMA50%,SMA200%,Stage,VCP,_10pct_excluded,_10pct_exclude_reasons,Quality Score
ADTN,2,"Growth, 52 Week High",ADTRAN Holdings Inc,Technology,Communication Equipment,USA,1.04B,4.408352668213457,90.84,17.46,-0.919540229885063,1.28,1390000.0,18.07,25.95,39.61,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 18.1, 'sma50': 25.9, 'sma200': 39.6}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,32.0
PLYX,2,"10% Change, Week 20%+ Gain",Polaryx Therapeutics Inc,Healthcare,Biotechnology,USA,368.78M,24.64698331193838,70.4,0.0,-84.07278675117563,0.93,2780000.0,54.98,21.19,21.19,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 55.0, 'sma50': 21.2, 'sma200': 21.2}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",True,"RVol 0.9x < 1.5x, -84% from 52w high",37.0
VG,2,"Growth, IPO",Venture Global Inc,Energy,Oil & Gas Midstream,USA,43.07B,6.8454078722190514,51.81,176.93,-10.102564102564093,1.35,19980000.0,28.12,57.69,53.27,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 28.1, 'sma50': 57.7, 'sma200': 53.3}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,51.0
ADEA,1,Growth,Adeia Inc,Technology,Software - Application,USA,2.64B,4.13393964448119,71.9,17.91,-7.2824837102338,1.15,1030000.0,6.11,18.13,48.19,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 6.1, 'sma50': 18.1, 'sma200': 48.2}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,33.0
ANNA,1,10% Change,AleAnna Inc,Energy,Oil & Gas E&P,USA,567.23M,14.806110458284373,-985.28,0.0,-53.49726775956285,1.7,3460000.0,83.1,145.58,106.22,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 83.1, 'sma50': 145.6, 'sma200': 106.2}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",True,-53% from 52w high,25.0
APGE,1,IPO,Apogee Therapeutics Inc,Healthcare,Biotechnology,USA,5.41B,6.784888203546648,-30.45,0.0,-8.490122295390423,1.29,1080000.0,6.94,9.24,37.78,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 6.9, 'sma50': 9.2, 'sma200': 37.8}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,21.0
AR,1,Growth,Antero Resources Corp,Energy,Oil & Gas E&P,USA,13.93B,3.36655592469546,1000.65,21.99,-0.7037607213547403,0.83,6220000.0,10.4,22.23,29.36,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 10.4, 'sma50': 22.2, 'sma200': 29.4}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,42.0
ARM,1,IPO,Arm Holdings plc. ADR,Technology,Semiconductors,United Kingdom,153.07B,5.904391868452092,-2.03,26.45,-21.309237824852588,1.55,6610000.0,12.53,18.07,4.13,"{'stage': 1, 'badge': '🔵 Stage 1', 'perfect': False, 'sma20': 12.5, 'sma50': 18.1, 'sma200': 4.1}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,35.0
BTSG,1,IPO,BrightSpring Health Services Inc,Healthcare,Health Information Services,USA,8.19B,4.937396645405149,893.58,14.59,-7.15069094099584,0.93,2420000.0,1.5,4.64,34.43,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 1.5, 'sma50': 4.6, 'sma200': 34.4}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,36.0
BW,1,Growth,Babcock & Wilcox Enterprises Inc,Industrials,Specialty Industrial Machinery,USA,2.01B,10.296096904441454,38.81,-11.44,-8.4975369458128,0.67,4150000.0000000005,11.62,35.67,181.57,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 11.6, 'sma50': 35.7, 'sma200': 181.6}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,24.0
CAR,1,10% Change,Avis Budget Group Inc,Industrials,Rental & Leasing Services,USA,5.23B,5.813405186931628,51.2,-1.16,-30.242939711479732,2.44,732280.0,40.43,34.29,4.92,"{'stage': 1, 'badge': '🔵 Stage 1', 'perfect': False, 'sma20': 40.4, 'sma50': 34.3, 'sma200': 4.9}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",True,-30% from 52w high,39.0
CC,1,52 Week High,Chemours Company,Basic Materials,Specialty Chemicals,USA,3.24B,5.879629629629629,-540.18,0.43,-1.1441647597253968,0.71,3550000.0,17.09,20.7,48.23,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 17.1, 'sma50': 20.7, 'sma200': 48.2}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,14.0
CGON,1,IPO,Cg Oncology Inc,Healthcare,Biotechnology,USA,5.46B,4.952027236149799,-80.13,254.7,-6.820475847152108,0.66,1310000.0,1.45,11.34,58.17,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 1.4, 'sma50': 11.3, 'sma200': 58.2}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,16.0
CIEN,1,Growth,CIENA Corp,Technology,Communication Equipment,USA,56.79B,7.1960359552799975,193.36,26.54,-10.132247309181219,0.73,3390000.0,10.42,27.59,112.32,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 10.4, 'sma50': 27.6, 'sma200': 112.3}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,45.0
CRGY,1,52 Week High,Crescent Energy Co,Energy,Oil & Gas E&P,USA,4.49B,4.014598540145986,177.61,22.14,-1.0830324909747335,0.78,7750000.0,11.63,27.29,46.14,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 11.6, 'sma50': 27.3, 'sma200': 46.1}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,30.0
CXW,1,Growth,CoreCivic Inc,Industrials,Security & Protection Services,USA,1.90B,3.8580246913580245,74.84,12.72,-17.41716227697535,1.11,1170000.0,2.68,3.89,0.21,"{'stage': 1, 'badge': '🔵 Stage 1', 'perfect': False, 'sma20': 2.7, 'sma50': 3.9, 'sma200': 0.2}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,17.0
DAR,1,52 Week High,Darling Ingredients Inc,Consumer Defensive,Packaged Foods,USA,9.40B,3.356950067476383,-77.29,7.35,-0.5869528760690912,1.56,2730000.0,6.75,16.89,54.58,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 6.8, 'sma50': 16.9, 'sma200': 54.6}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,24.0
DELL,1,Growth,Dell Technologies Inc,Technology,Computer Hardware,USA,110.95B,4.66794715092253,39.59,19.12,-7.8223080637373155,0.92,8530000.0,9.98,28.13,28.94,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 10.0, 'sma50': 28.1, 'sma200': 28.9}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,40.0
ELVN,1,Week 20%+ Gain,Enliven Therapeutics Inc,Healthcare,Biotechnology,USA,2.32B,6.052021632758177,2.24,0.0,-4.406696208764149,1.08,1240000.0,27.03,36.08,74.38,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 27.0, 'sma50': 36.1, 'sma200': 74.4}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,23.0
EQT,1,Growth,EQT Corp,Energy,Oil & Gas E&P,USA,42.17B,2.8719467061435973,694.17,59.96,-0.6471539932342951,0.55,10150000.0,5.58,13.56,20.84,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 5.6, 'sma50': 13.6, 'sma200': 20.8}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,42.0
EXE,1,Growth,Expand Energy Corp,Energy,Oil & Gas E&P,USA,27.29B,3.3920704845814975,285.54,172.2,-10.361712209761498,0.82,3950000.0,4.97,6.08,6.53,"{'stage': 1, 'badge': '🔵 Stage 1', 'perfect': False, 'sma20': 5.0, 'sma50': 6.1, 'sma200': 6.5}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,34.0
GEV,1,IPO,GE Vernova Inc,Industrials,Specialty Industrial Machinery,USA,229.95B,4.740025317642646,220.77,8.92,-10.0402792129737,0.87,2830000.0,0.24,6.63,31.13,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 0.2, 'sma50': 6.6, 'sma200': 31.1}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,52.0
GLNG,1,Growth,Golar Lng,Energy,Oil & Gas Midstream,Bermuda,5.76B,3.4163183717972014,33.78,51.14,-1.3799283154121822,1.42,1910000.0,13.68,23.12,33.91,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 13.7, 'sma50': 23.1, 'sma200': 33.9}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,27.0
GPRE,1,52 Week High,Green Plains Inc,Basic Materials,Chemicals,USA,1.18B,5.802249851983421,-45.01,-14.44,0.05924170616113944,1.35,1550000.0,7.42,20.28,62.97,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 7.4, 'sma50': 20.3, 'sma200': 63.0}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,10.0
KC,1,Growth,Kingsoft Cloud Holdings Ltd ADR,Technology,Software - Application,China,4.02B,6.843267108167771,56.65,23.05,-23.608768971332207,1.2,1540000.0,0.93,2.09,2.71,"{'stage': 1, 'badge': '🔵 Stage 1', 'perfect': False, 'sma20': 0.9, 'sma50': 2.1, 'sma200': 2.7}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,26.0
KGS,1,IPO,Kodiak Gas Services Inc,Energy,Oil & Gas Equipment & Services,USA,5.02B,3.2495296733367542,50.71,12.83,-2.6635591809555548,0.64,1540000.0,2.95,16.11,51.64,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 3.0, 'sma50': 16.1, 'sma200': 51.6}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,26.0
LAUR,1,Growth,Laureate Education Inc,Consumer Defensive,Education & Training Services,USA,4.96B,3.2777458309373197,-1.04,8.64,-8.256396729095217,0.72,1610000.0,3.29,1.93,16.6,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 3.3, 'sma50': 1.9, 'sma200': 16.6}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,16.0
LITE,1,Growth,Lumentum Holdings Inc,Technology,Communication Equipment,USA,50.17B,9.636702574246154,146.62,48.89,-13.114490603363006,0.88,5770000.0,2.26,21.63,143.46,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 2.3, 'sma50': 21.6, 'sma200': 143.5}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,45.0
LXU,1,Growth,"LSB Industries, Inc",Basic Materials,Chemicals,USA,1.17B,5.58282208588957,226.39,17.77,-5.342624854819967,3.21,1080000.0,13.87,39.97,75.81,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 13.9, 'sma50': 40.0, 'sma200': 75.8}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,47.0
METC,1,10% Change,Ramaco Resources Inc,Basic Materials,Coking Coal,USA,1.00B,8.547557840616966,-544.58,-19.46,-73.0795847750865,0.96,2650000.0,6.76,-10.31,-28.74,"{'stage': 4, 'badge': '⚫ Stage 4', 'perfect': False, 'sma20': 6.8, 'sma50': -10.3, 'sma200': -28.7}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",True,"below 50d MA (-10.3%), RVol 1.0x < 1.5x, -73% from 52w high, Stage 4 (Downtrend)",-25.0
MRVL,1,Growth,Marvell Technology Inc,Technology,Semiconductors,USA,82.95B,4.83768971332209,405.16,42.09,-7.677337744477963,0.98,16739999.999999998,6.93,13.77,17.14,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 6.9, 'sma50': 13.8, 'sma200': 17.1}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,49.0
NAVN,1,Week 20%+ Gain,Navan Inc,Technology,Software - Application,USA,3.04B,8.845208845208845,-119.53,30.82,-46.32967032967032,6.12,2080000.0,25.04,11.95,-9.91,"{'stage': 4, 'badge': '⚫ Stage 4', 'perfect': False, 'sma20': 25.0, 'sma50': 11.9, 'sma200': -9.9}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,7.0
OLN,1,52 Week High,Olin Corp,Basic Materials,Chemicals,USA,3.30B,5.4808686659772485,-141.44,3.68,-0.4802744425385863,1.09,3230000.0,14.15,18.1,29.04,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 14.2, 'sma50': 18.1, 'sma200': 29.0}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,19.0
OS,1,IPO,OneStream Inc,Technology,Software - Infrastructure,USA,6.04B,0.542118432026689,78.77,22.99,-19.150370869858392,2.46,4310000.0,1.08,1.51,9.79,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 1.1, 'sma50': 1.5, 'sma200': 9.8}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,46.0
