Ticker,Appearances,Screeners,Company,Sector,Industry,Country,Market Cap,Volume,ATR%,EPS Y/Y TTM,Sales Y/Y TTM,Dist From High%,Rel Volume,Avg Volume,SMA20%,SMA50%,SMA200%,EPS Q/Q,Inst Own,Inst Trans,Perf Month,Perf Quarter,Perf Half Y,Perf Year,Stage,VCP,_10pct_excluded,_10pct_exclude_reasons,Quality Score,RS Rating
TE,5,"10% Change, Growth, 52 Week High, Week 20%+ Gain, Power Move",T1 Energy Inc,Industrials,Electrical Equipment & Parts,USA,2.92B,"71,697,034",9.186602870813397,34.17,1459.55,6.785203351726965,3.4,21090000.0,66.55,79.37,107.78,29.96,64.61,5.89,97.54,47.39,284.19,895.24,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 66.5, 'sma50': 79.4, 'sma200': 107.8}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",False,,97.0,94
AEHR,4,"10% Change, 52 Week High, Week 20%+ Gain, Power Move",Aehr Test Systems,Technology,Semiconductor Equipment & Materials,USA,3.46B,"2,684,394",9.625181950509461,-147.85,-26.39,1.0749326442975216,0.91,2940000.0,17.97,51.39,188.32,-383.33,72.0,3.81,14.61,180.19,466.6,1142.03,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 18.0, 'sma50': 51.4, 'sma200': 188.3}","{'vcp_possible': False, 'confidence': 30, 'signals': ['below-avg volume RVol 0.9x', 'holding above 20-day MA'], 'reason': 'below-avg volume RVol 0.9x · holding above 20-day MA'}",True,RVol 0.9x < 1.5x,69.0,98
ALAB,4,"Growth, IPO, 52 Week High, Week 20%+ Gain",Astera Labs Inc,Technology,Semiconductors,USA,54.63B,318.72,6.67043172690763,533.56,104.18,0.921440106393101,1.49,5430000.0,39.43,79.36,85.84,148.21,71.26,3.22,49.75,148.22,128.82,236.84,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 39.4, 'sma50': 79.4, 'sma200': 85.8}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",False,,107.0,79
ARM,4,"Growth, IPO, 52 Week High, Week 20%+ Gain",Arm Holdings Plc ADR,Technology,Semiconductors,United Kingdom,341.78B,321.22,6.08305834007845,12.94,22.79,1.9742794467319413,1.24,8720000.0,39.71,72.55,117.05,48.63,8.09,0.87,36.8,150.68,142.38,152.57,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 39.7, 'sma50': 72.5, 'sma200': 117.0}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",False,,95.0,74
ATOM,4,"10% Change, 52 Week High, Week 20%+ Gain, Power Move",Atomera Inc,Technology,Semiconductor Equipment & Materials,USA,468.86M,"3,719,386",10.239471511147812,1.62,-40.5,5.441880713974756,1.73,2150000.0,35.77,84.45,191.71,0.0,41.65,19.63,40.81,128.28,508.54,78.88,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 35.8, 'sma50': 84.5, 'sma200': 191.7}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",False,,77.0,87
MU,4,"Growth, 52 Week High, Week 20%+ Gain, Power Move",Micron Technology Inc,Technology,Semiconductors,USA,1010.31B,895.88,6.231861410010269,410.18,85.55,9.429947513005722,1.66,45360000.0,30.35,69.54,174.41,756.34,78.17,-1.3,80.36,114.32,344.89,859.49,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 30.4, 'sma50': 69.5, 'sma200': 174.4}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",False,,110.0,96
OUST,4,"Growth, 52 Week High, Week 20%+ Gain, Power Move",Ouster Inc,Technology,Electronic Components,USA,2.72B,42.70,8.618266978922716,50.64,57.34,2.516085662153089,2.83,3030000.0,41.19,69.0,65.65,32.66,46.57,-0.34,51.31,128.95,116.53,314.97,"{'stage': 0, 'badge': '⚪ Transitional', 'perfect': False, 'sma20': 41.2, 'sma50': 69.0, 'sma200': 65.7}","{'vcp_possible': False, 'confidence': 0, 'reason': 'Not Stage 2'}",False,,56.0,80
RDW,4,"10% Change, 52 Week High, Week 20%+ Gain, Power Move",Redwire Corp,Industrials,Aerospace & Defense,USA,4.38B,"105,055,149",8.166969147005446,-18.98,33.58,-0.9438202247191052,4.04,25980000.0,80.54,107.03,142.84,-342.64,49.96,7.79,127.69,161.76,335.57,69.54,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 80.5, 'sma50': 107.0, 'sma200': 142.8}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",False,,89.0,82
XNDU,4,"10% Change, IPO, Week 20%+ Gain, Power Move",Xanadu Quantum Technologies Ltd,Technology,Software - Infrastructure,Canada,5.33B,"10,412,283",20.067264573991032,0.0,0.0,-57.96418473138548,2.64,3950000.0,0.74,11.14,48.1,1977.78,73.9,90.96,-42.36,71.54,62.63,80.11,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 0.7, 'sma50': 11.1, 'sma200': 48.1}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",False,,117.0,51
ACMR,3,"52 Week High, Week 20%+ Gain, Power Move",ACM Research Inc,Technology,Semiconductor Equipment & Materials,USA,5.73B,86.46,6.141568355308814,-17.14,19.69,13.224892713979465,2.66,1350000.0,40.31,64.28,95.62,-18.69,68.4,0.2,54.12,27.6,191.41,285.81,"{'stage': 2, 'badge': '🟢 Stage 2', 'perfect': True, 'sma20': 40.3, 'sma50': 64.3, 'sma200': 95.6}","{'vcp_possible': False, 'confidence': 15, 'signals': ['holding above 20-day MA'], 'reason': 'holding above 20-day MA'}",False,,81.0,76
