Ticker,Appearances,Screeners,Company,Sector,Industry,Country,Market Cap
SNDK,3,"Growth, IPO, 52 Week High",Sandisk Corp,Technology,Computer Hardware,USA,111.25B
VG,3,"10% Change, Growth, IPO",Venture Global Inc,Energy,Oil & Gas Midstream,USA,36.49B
ADTN,2,"Growth, 52 Week High",ADTRAN Holdings Inc,Technology,Communication Equipment,USA,944.53M
BW,2,"Growth, 52 Week High",Babcock & Wilcox Enterprises Inc,Industrials,Specialty Industrial Machinery,USA,1.92B
CIEN,2,"Growth, 52 Week High",CIENA Corp,Technology,Communication Equipment,USA,54.48B
KRMN,2,"Growth, IPO",Karman Holdings Inc,Industrials,Aerospace & Defense,USA,13.42B
LASR,2,"Growth, 52 Week High",nLIGHT Inc,Technology,Semiconductors,USA,3.82B
MU,2,"Growth, 52 Week High",Micron Technology Inc,Technology,Semiconductors,USA,519.68B
NVT,2,"Growth, 52 Week High",nVent Electric plc,Industrials,Electrical Equipment & Parts,United Kingdom,19.45B
AAOI,1,Growth,Applied Optoelectronics Inc,Technology,Communication Equipment,USA,6.97B
ABVX,1,IPO,Abivax ADR,Healthcare,Biotechnology,France,9.82B
ADEA,1,Growth,Adeia Inc,Technology,Software - Application,USA,2.53B
AHR,1,IPO,American Healthcare REIT Inc,Real Estate,REIT - Healthcare Facilities,USA,9.99B
ALAB,1,IPO,Astera Labs Inc,Technology,Semiconductors,USA,21.50B
AMPX,1,52 Week High,Amprius Technologies Inc,Industrials,Electrical Equipment & Parts,USA,2.59B
AR,1,Growth,Antero Resources Corp,Energy,Oil & Gas E&P,USA,12.80B
ARM,1,IPO,Arm Holdings plc. ADR,Technology,Semiconductors,United Kingdom,136.32B
BDSX,1,Growth,Biodesix Inc,Healthcare,Diagnostics & Research,USA,158.62M
BMBL,1,Week 20%+ Gain,Bumble Inc,Communication Services,Internet Content & Information,USA,426.15M
BNAI,1,Growth,Brand Engagement Network Inc,Technology,Software - Infrastructure,USA,253.60M
BTSG,1,IPO,BrightSpring Health Services Inc,Healthcare,Health Information Services,USA,8.34B
CART,1,IPO,Maplebear Inc,Consumer Cyclical,Internet Retail,USA,9.09B
CAVA,1,IPO,Cava Group Inc,Consumer Cyclical,Restaurants,USA,10.35B
CGON,1,IPO,Cg Oncology Inc,Healthcare,Biotechnology,USA,5.44B
CRCL,1,Growth,Circle Internet Group Inc,Financial,Capital Markets,USA,32.79B
CRGY,1,52 Week High,Crescent Energy Co,Energy,Oil & Gas E&P,USA,4.09B
CTRI,1,IPO,Centuri Holdings Inc,Utilities,Utilities - Regulated Gas,USA,3.07B
CXW,1,Growth,CoreCivic Inc,Industrials,Security & Protection Services,USA,1.98B
DAR,1,52 Week High,Darling Ingredients Inc,Consumer Defensive,Packaged Foods,USA,9.00B
DELL,1,Growth,Dell Technologies Inc,Technology,Computer Hardware,USA,98.91B
DOCN,1,52 Week High,DigitalOcean Holdings Inc,Technology,Software - Infrastructure,USA,7.59B
DVLT,1,Week 20%+ Gain,Datavault AI Inc,Technology,Software - Infrastructure,USA,539.27M
EQT,1,Growth,EQT Corp,Energy,Oil & Gas E&P,USA,39.65B
FSLY,1,10% Change,Fastly Inc,Technology,Software - Application,USA,4.08B
GEV,1,IPO,GE Vernova Inc,Industrials,Specialty Industrial Machinery,USA,231.38B
GLNG,1,Growth,Golar Lng,Energy,Oil & Gas Midstream,Bermuda,5.02B
GPRE,1,52 Week High,Green Plains Inc,Basic Materials,Chemicals,USA,1.13B
HTFL,1,10% Change,Heartflow Inc,Healthcare,Health Information Services,USA,2.17B
KC,1,Growth,Kingsoft Cloud Holdings Ltd ADR,Technology,Software - Application,China,4.37B
KGS,1,IPO,Kodiak Gas Services Inc,Energy,Oil & Gas Equipment & Services,USA,4.77B
KOS,1,Week 20%+ Gain,Kosmos Energy Ltd,Energy,Oil & Gas E&P,USA,1.54B
LITE,1,Growth,Lumentum Holdings Inc,Technology,Communication Equipment,USA,50.04B
LWLG,1,Week 20%+ Gain,Lightwave Logic Inc,Basic Materials,Specialty Chemicals,USA,970.02M
MASI,1,52 Week High,Masimo Corp,Healthcare,Medical Devices,USA,9.19B
MOVE,1,Growth,Movano Inc,Healthcare,Medical Devices,USA,17.23M
MRVL,1,Growth,Marvell Technology Inc,Technology,Semiconductors,USA,76.61B
MTDR,1,52 Week High,Matador Resources Co,Energy,Oil & Gas E&P,USA,7.15B
NEXT,1,10% Change,NextDecade Corporation,Energy,Oil & Gas Equipment & Services,USA,1.84B
OS,1,IPO,OneStream Inc,Technology,Software - Infrastructure,USA,5.98B
OSS,1,Growth,One Stop Systems Inc,Technology,Computer Hardware,USA,275.55M
PARR,1,52 Week High,Par Pacific Holdings Inc,Energy,Oil & Gas Refining & Marketing,USA,2.75B
PWR,1,52 Week High,"Quanta Services, Inc",Industrials,Engineering & Construction,USA,85.58B
RDDT,1,IPO,Reddit Inc,Communication Services,Internet Content & Information,USA,27.28B
RSI,1,Growth,Rush Street Interactive Inc,Consumer Cyclical,Gambling,USA,4.76B
SEI,1,52 Week High,Solaris Energy Infrastructure Inc,Energy,Oil & Gas Equipment & Services,USA,4.70B
SNDX,1,Growth,Syndax Pharmaceuticals Inc,Healthcare,Biotechnology,USA,2.09B
SWMR,1,10% Change,Swarmer Inc,Industrials,Aerospace & Defense,USA,679.25M
TOI,1,Week 20%+ Gain,Oncology Institute Inc,Healthcare,Medical Care Facilities,USA,355.82M
TPH,1,52 Week High,Tri Pointe Homes Inc,Consumer Cyclical,Residential Construction,USA,3.97B
ULS,1,IPO,UL Solutions Inc,Industrials,Specialty Business Services,USA,17.38B
UMAC,1,Growth,Unusual Machines Inc,Technology,Computer Hardware,USA,782.08M
VRT,1,Growth,Vertiv Holdings Co,Industrials,Electrical Equipment & Parts,USA,101.28B
VSAT,1,52 Week High,"Viasat, Inc",Technology,Communication Equipment,USA,6.60B
WDC,1,52 Week High,Western Digital Corp,Technology,Computer Hardware,USA,103.37B
WOOF,1,Week 20%+ Gain,Petco Health and Wellness Co Inc,Consumer Cyclical,Specialty Retail,USA,918.47M
