Ticker,Company,Sector,Industry,Market Cap,Days Seen,Total Days,Dates,Max ATR%,Max EPS%,Max Appearances,Screeners Hit,Base Score,Signal Score,Q Rank,Stage,Quality Mod,Watch,Last SMA50%,EP,IPO,MULTI,HIGH,CHAR,CC_DEEP,CC_WATCH
BLZE,Backblaze Inc,Technology,Software - Infrastructure,1.16B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",10.0,61.3,3,"10% Change, 52 Week High, Power Move, Week 20%+ Gain",160.0,265.0,72,Uptrend,30,False,34.0,True,False,True,False,True,False,False
APPS,Digital Turbine Inc,Technology,Software - Application,1.74B,3,4,"2026-08-03, 2026-08-05, 2026-08-07",9.0,61.1,4,"10% Change, 52 Week High, Base / Near-High, Growth, Power Move, Week 20%+ Gain",155.0,260.0,67,Uptrend,30,False,-2.9,True,False,True,False,True,False,False
TWST,Twist Bioscience Corp,Healthcare,Diagnostics & Research,7.25B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",7.6,59.4,4,"10% Change, 52 Week High, Power Move, Week 20%+ Gain",160.0,225.0,54,Uptrend,15,False,19.7,True,False,True,False,False,False,False
AIRJ,AirJoule Technologies Corp,Industrials,Building Products & Equipment,428.61M,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",9.3,-228.0,3,"10% Change, Power Move, Week 20%+ Gain",150.0,225.0,60,Uptrend,30,False,12.2,False,False,True,False,True,False,False
PAY,Paymentus Holdings Inc,Technology,Software - Infrastructure,4.86B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",6.3,50.3,5,"10% Change, 52 Week High, Growth, Power Move, Week 20%+ Gain",170.0,225.0,33,Transitional,-20,True,34.2,True,False,True,False,True,False,False
ZETA,Zeta Global Holdings Corp,Technology,Software - Infrastructure,6.64B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",6.0,94.3,3,"52 Week High, Base / Near-High, Growth, Power Move",160.0,220.0,94,Uptrend,30,False,8.2,False,False,True,True,False,False,False
HEI,Heico Corp,Industrials,Aerospace & Defense,42.87B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",2.8,30.8,3,"52 Week High, Base / Near-High, Growth",150.0,210.0,92,Uptrend,30,False,5.8,False,False,True,True,False,False,False
HALO,Halozyme Therapeutics Inc,Healthcare,Biotechnology,12.23B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",3.3,-24.2,3,"10% Change, Base / Near-High, Growth, Power Move",160.0,210.0,100,Uptrend,30,False,10.3,False,False,True,False,False,False,False
WT,WisdomTree Inc,Financial,Asset Management,3.22B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",4.5,38.1,3,"52 Week High, Base / Near-High, Growth",150.0,210.0,90,Uptrend,30,False,12.1,False,False,True,True,False,False,False
VCTR,Victory Capital Holdings Inc,Financial,Asset Management,6.76B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",3.2,33.6,3,"52 Week High, Base / Near-High, Growth",150.0,210.0,80,Uptrend,30,False,14.9,False,False,True,True,False,False,False
AEHR,Aehr Test Systems,Technology,Semiconductor Equipment & Materials,3.36B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",13.0,-81.5,4,"10% Change, Growth, Power Move, Week 20%+ Gain",160.0,210.0,90,Uptrend,30,False,0.5,False,False,True,False,False,False,False
NET,Cloudflare Inc,Technology,Software - Infrastructure,106.63B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",5.5,-4.5,3,"52 Week High, Base / Near-High, Growth",150.0,210.0,80,Uptrend,30,False,12.8,False,False,True,True,False,False,False
ECPG,Encore Capital Group Inc,Financial,Credit Services,2.13B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",3.9,469.0,3,"52 Week High, Base / Near-High, Growth",150.0,210.0,74,Uptrend,30,False,10.9,False,False,True,True,False,False,False
UMAC,Unusual Machines Inc,Technology,Computer Hardware,1.25B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",10.3,91.3,4,"10% Change, Growth, Power Move, Week 20%+ Gain",160.0,210.0,88,Uptrend,30,False,5.0,False,False,True,False,False,False,False
ENVA,Enova International Inc,Financial,Credit Services,6.29B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",3.7,43.9,3,"52 Week High, Base / Near-High, Growth",150.0,210.0,84,Uptrend,30,False,23.1,False,False,True,True,False,False,False
SNOW,Snowflake Inc,Technology,Software - Application,114.55B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",4.8,16.5,3,"52 Week High, Base / Near-High, Growth",150.0,210.0,83,Uptrend,30,False,22.8,False,False,True,True,False,False,False
AIR,AAR Corp,Industrials,Aerospace & Defense,5.76B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",4.6,1317.5,3,"52 Week High, Base / Near-High, Growth",150.0,210.0,101,Uptrend,30,False,10.5,False,False,True,True,False,False,False
AMG,Affiliated Managers Group Inc,Financial,Asset Management,9.76B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",3.6,108.9,3,"52 Week High, Base / Near-High, Growth",150.0,210.0,92,Uptrend,30,False,10.3,False,False,True,True,False,False,False
AAMI,Acadian Asset Management Inc,Financial,Asset Management,3.20B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",3.9,17.8,3,"52 Week High, Base / Near-High, Growth",150.0,210.0,90,Uptrend,30,False,15.6,False,False,True,True,False,False,False
CRWD,Crowdstrike Holdings Inc,Technology,Software - Infrastructure,218.34B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",4.8,73.6,3,"52 Week High, Base / Near-High, Growth",150.0,210.0,108,Uptrend,30,False,11.2,False,False,True,True,False,False,False
COHR,Coherent Corp,Technology,Scientific & Technical Instruments,74.17B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",10.5,1103.2,3,"10% Change, Growth, Power Move, Week 20%+ Gain",160.0,210.0,109,Uptrend,30,False,-16.7,False,False,True,False,False,False,False
GLBE,Global E Online Ltd,Consumer Cyclical,Internet Retail,7.11B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",3.9,287.9,3,"52 Week High, Base / Near-High, Growth",150.0,210.0,99,Uptrend,30,False,15.4,False,False,True,True,False,False,False
FTNT,Fortinet Inc,Technology,Software - Infrastructure,117.13B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",4.4,12.9,3,"52 Week High, Base / Near-High, Growth",150.0,210.0,90,Uptrend,30,False,8.6,False,False,True,True,False,False,False
RDW,Redwire Corp,Industrials,Aerospace & Defense,3.25B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",10.1,55.1,3,"10% Change, Growth, Power Move, Week 20%+ Gain",160.0,210.0,89,Uptrend,30,False,-27.9,False,False,True,False,False,False,False
DELL,Dell Technologies Inc,Technology,Computer Hardware,294.17B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",8.1,99.7,3,"52 Week High, Base / Near-High, Growth",150.0,210.0,112,Uptrend,30,False,6.5,False,False,True,True,False,False,False
VOYG,Voyager Technologies Inc,Industrials,Aerospace & Defense,2.55B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",9.2,-27.8,2,"10% Change, IPO, Power Move, Week 20%+ Gain",160.0,205.0,72,Uptrend,30,False,-19.9,False,True,False,False,False,False,False
FIVN,Five9 Inc,Technology,Software - Infrastructure,2.60B,3,4,"2026-08-03, 2026-08-04, 2026-08-07",5.9,1136.2,3,"10% Change, 52 Week High, Power Move",125.0,205.0,104,Uptrend,30,False,23.8,True,False,True,False,False,False,False
AXTI,AXT Inc,Technology,Semiconductor Equipment & Materials,5.80B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",15.6,104.7,3,"10% Change, Power Move, Week 20%+ Gain",150.0,200.0,107,Uptrend,30,True,-10.6,False,False,True,False,False,False,False
VIK,Viking Holdings Ltd,Consumer Cyclical,Travel Services,47.20B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",3.0,119.4,2,"52 Week High, IPO",140.0,195.0,90,Uptrend,30,False,9.8,False,True,False,True,False,False,False
CDNA,Caredx Inc,Healthcare,Diagnostics & Research,2.42B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",5.3,90.7,2,"52 Week High, Base / Near-High, Growth",150.0,190.0,96,Uptrend,30,False,65.7,False,False,False,True,False,False,False
NUE,Nucor Corp,Basic Materials,Steel,62.09B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",3.2,126.7,2,"52 Week High, Base / Near-High, Growth",150.0,190.0,105,Uptrend,30,False,7.3,False,False,False,True,False,False,False
CRSR,Corsair Gaming Inc,Technology,Computer Hardware,1.53B,1,4,2026-08-07,6.3,109.4,4,"10% Change, 52 Week High, Power Move, Week 20%+ Gain",85.0,190.0,100,Uptrend,30,False,46.4,True,False,True,False,True,False,False
RBRK,Rubrik Inc,Technology,Software - Infrastructure,18.54B,3,4,"2026-08-04, 2026-08-05, 2026-08-07",5.3,48.9,3,"Base / Near-High, Growth, IPO",125.0,190.0,106,Uptrend,30,False,6.6,False,True,True,False,False,False,False
ROKU,Roku Inc,Communication Services,Entertainment,22.71B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",1.5,287.1,2,"52 Week High, Base / Near-High, Growth",150.0,190.0,102,Uptrend,30,False,7.0,False,False,False,True,False,False,False
ANET,Arista Networks Inc,Technology,Computer Hardware,237.96B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",5.9,24.4,2,"52 Week High, Base / Near-High, Growth",150.0,190.0,92,Uptrend,30,False,10.4,False,False,False,True,False,False,False
DDOG,Datadog Inc,Technology,Software - Application,100.80B,3,4,"2026-08-03, 2026-08-04, 2026-08-05",4.8,-21.1,3,"52 Week High, Base / Near-High, Growth",125.0,185.0,101,Uptrend,30,False,11.2,False,False,True,True,False,False,False
DBRG,DigitalBridge Group Inc,Financial,Asset Management,2.99B,3,4,"2026-08-03, 2026-08-04, 2026-08-05",0.4,52.3,3,"52 Week High, Base / Near-High, Growth",125.0,185.0,96,Uptrend,30,False,0.5,False,False,True,True,False,False,False
SATL,Satellogic Inc,Industrials,Aerospace & Defense,818.31M,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",10.9,49.7,2,"10% Change, Power Move, Week 20%+ Gain",150.0,180.0,66,Uptrend,30,False,-32.1,False,False,False,False,False,False,False
AAOI,Applied Optoelectronics Inc,Technology,Communication Equipment,10.88B,4,4,"2026-08-03, 2026-08-04, 2026-08-05, 2026-08-07",13.7,82.9,2,"10% Change, Power Move, Week 20%+ Gain",150.0,180.0,82,Uptrend,30,False,-22.5,False,False,False,False,False,False,False
