Ticker,Appearances,Screeners,Company,Sector,Industry,Country,Market Cap
BW,3,"Growth, 52 Week High, Week 20%+ Gain",Babcock & Wilcox Enterprises Inc,Industrials,Specialty Industrial Machinery,USA,2.05B
SNDK,3,"Growth, IPO, 52 Week High",Sandisk Corp,Technology,Computer Hardware,USA,104.75B
CIEN,2,"Growth, 52 Week High",CIENA Corp,Technology,Communication Equipment,USA,54.28B
FIVE,2,"Growth, 52 Week High",Five Below Inc,Consumer Cyclical,Specialty Retail,USA,12.54B
KRMN,2,"Growth, IPO",Karman Holdings Inc,Industrials,Aerospace & Defense,USA,13.15B
LITE,2,"Growth, 52 Week High",Lumentum Holdings Inc,Technology,Communication Equipment,USA,50.43B
PL,2,"52 Week High, Week 20%+ Gain",Planet Labs PBC,Industrials,Aerospace & Defense,USA,11.46B
SEDG,2,"52 Week High, Week 20%+ Gain",Solaredge Technologies Inc,Technology,Solar,Israel,3.12B
VG,2,"Growth, IPO",Venture Global Inc,Energy,Oil & Gas Midstream,USA,38.84B
ABVX,1,IPO,Abivax ADR,Healthcare,Biotechnology,France,9.53B
ADEA,1,Growth,Adeia Inc,Technology,Software - Application,USA,2.53B
ADTN,1,Growth,ADTRAN Holdings Inc,Technology,Communication Equipment,USA,924.36M
AGRO,1,Week 20%+ Gain,Adecoagro S.A,Consumer Defensive,Farm Products,Luxembourg,2.00B
AR,1,Growth,Antero Resources Corp,Energy,Oil & Gas E&P,USA,13.29B
ARM,1,IPO,Arm Holdings plc. ADR,Technology,Semiconductors,United Kingdom,140.56B
AXTI,1,52 Week High,AXT Inc,Technology,Semiconductor Equipment & Materials,USA,3.01B
BNAI,1,Growth,Brand Engagement Network Inc,Technology,Software - Infrastructure,USA,236.57M
BTSG,1,IPO,BrightSpring Health Services Inc,Healthcare,Health Information Services,USA,7.98B
CAVA,1,IPO,Cava Group Inc,Consumer Cyclical,Restaurants,USA,9.81B
CGON,1,IPO,Cg Oncology Inc,Healthcare,Biotechnology,USA,5.50B
CRCL,1,Growth,Circle Internet Group Inc,Financial,Capital Markets,USA,31.11B
CRGY,1,52 Week High,Crescent Energy Co,Energy,Oil & Gas E&P,USA,4.15B
DELL,1,Growth,Dell Technologies Inc,Technology,Computer Hardware,USA,101.82B
DFTX,1,52 Week High,Definium Therapeutics Inc,Healthcare,Biotechnology,USA,1.83B
EQT,1,Growth,EQT Corp,Energy,Oil & Gas E&P,USA,40.37B
EXAS,1,52 Week High,Exact Sciences Corp,Healthcare,Diagnostics & Research,USA,20.03B
GEV,1,IPO,GE Vernova Inc,Industrials,Specialty Industrial Machinery,USA,229.39B
GLNG,1,Growth,Golar Lng,Energy,Oil & Gas Midstream,Bermuda,5.51B
KGS,1,IPO,Kodiak Gas Services Inc,Energy,Oil & Gas Equipment & Services,USA,4.80B
LASR,1,Growth,nLIGHT Inc,Technology,Semiconductors,USA,3.67B
MOVE,1,Growth,Movano Inc,Healthcare,Medical Devices,USA,15.99M
MRVL,1,Growth,Marvell Technology Inc,Technology,Semiconductors,USA,76.86B
MU,1,Growth,Micron Technology Inc,Technology,Semiconductors,USA,475.98B
NKLR,1,10% Change,Terra Innovatum Global N.V,Utilities,Utilities - Regulated Electric,Italy,564.66M
OS,1,IPO,OneStream Inc,Technology,Software - Infrastructure,USA,5.98B
OVID,1,Week 20%+ Gain,Ovid Therapeutics Inc,Healthcare,Biotechnology,USA,345.51M
PARR,1,52 Week High,Par Pacific Holdings Inc,Energy,Oil & Gas Refining & Marketing,USA,3.01B
ROMA,1,10% Change,Roma Green Finance Ltd,Industrials,Consulting Services,Hong Kong,413.38M
RSI,1,Growth,Rush Street Interactive Inc,Consumer Cyclical,Gambling,USA,4.81B
SNDX,1,Growth,Syndax Pharmaceuticals Inc,Healthcare,Biotechnology,USA,2.14B
STX,1,Growth,Seagate Technology Holdings Plc,Technology,Computer Hardware,USA,89.68B
TAL,1,Growth,TAL Education Group ADR,Consumer Defensive,Education & Training Services,China,5.24B
TNGX,1,52 Week High,Tango Therapeutics Inc,Healthcare,Biotechnology,USA,2.77B
TSEM,1,Week 20%+ Gain,Tower Semiconductor Ltd,Technology,Semiconductors,Israel,18.29B
VIRT,1,Growth,Virtu Financial Inc,Financial,Capital Markets,USA,6.44B
YPF,1,52 Week High,YPF ADR,Energy,Oil & Gas Integrated,Argentina,16.49B
